DATE,PAYEMS
1/1/1960,54274
2/1/1960,54513
3/1/1960,54454
4/1/1960,54813
5/1/1960,54475
6/1/1960,54348
7/1/1960,54306
8/1/1960,54272
9/1/1960,54227
10/1/1960,54142
11/1/1960,53961
12/1/1960,53742
1/1/1961,53683
2/1/1961,53557
3/1/1961,53659
4/1/1961,53627
5/1/1961,53786
6/1/1961,53977
7/1/1961,54123
8/1/1961,54298
9/1/1961,54388
10/1/1961,54522
11/1/1961,54742
12/1/1961,54872
1/1/1962,54891
2/1/1962,55188
3/1/1962,55275
4/1/1962,55602
5/1/1962,55628
6/1/1962,55644
7/1/1962,55746
8/1/1962,55838
9/1/1962,55978
10/1/1962,56041
11/1/1962,56056
12/1/1962,56028
1/1/1963,56115
2/1/1963,56230
3/1/1963,56320
4/1/1963,56580
5/1/1963,56616
6/1/1963,56659
7/1/1963,56794
8/1/1963,56910
9/1/1963,57078
10/1/1963,57283
11/1/1963,57255
12/1/1963,57361
1/1/1964,57487
2/1/1964,57753
3/1/1964,57897
4/1/1964,57922
5/1/1964,58089
6/1/1964,58219
7/1/1964,58412
8/1/1964,58619
9/1/1964,58903
10/1/1964,58793
11/1/1964,59218
12/1/1964,59421
1/1/1965,59582
2/1/1965,59800
3/1/1965,60003
4/1/1965,60259
5/1/1965,60491
6/1/1965,60690
7/1/1965,60965
8/1/1965,61228
9/1/1965,61490
10/1/1965,61719
11/1/1965,61996
12/1/1965,62322
1/1/1966,62529
2/1/1966,62796
3/1/1966,63192
4/1/1966,63437
5/1/1966,63712
6/1/1966,64111
7/1/1966,64301
8/1/1966,64507
9/1/1966,64643
10/1/1966,64854
11/1/1966,65019
12/1/1966,65199
1/1/1967,65407
2/1/1967,65429
3/1/1967,65530
4/1/1967,65466
5/1/1967,65620
6/1/1967,65750
7/1/1967,65888
8/1/1967,66143
9/1/1967,66164
10/1/1967,66225
11/1/1967,66703
12/1/1967,66900
1/1/1968,66804
2/1/1968,67215
3/1/1968,67295
4/1/1968,67556
5/1/1968,67652
6/1/1968,67905
7/1/1968,68126
8/1/1968,68330
9/1/1968,68484
10/1/1968,68721
11/1/1968,68984
12/1/1968,69248
1/1/1969,69439
2/1/1969,69699
3/1/1969,69905
4/1/1969,70072
5/1/1969,70328
6/1/1969,70636
7/1/1969,70729
8/1/1969,71008
9/1/1969,70914
10/1/1969,71121
11/1/1969,71086
12/1/1969,71241
1/1/1970,71176
2/1/1970,71305
3/1/1970,71451
4/1/1970,71348
5/1/1970,71124
6/1/1970,71029
7/1/1970,71053
8/1/1970,70937
9/1/1970,70944
10/1/1970,70521
11/1/1970,70409
12/1/1970,70792
1/1/1971,70865
2/1/1971,70807
3/1/1971,70860
4/1/1971,71036
5/1/1971,71247
6/1/1971,71254
7/1/1971,71315
8/1/1971,71373
9/1/1971,71614
10/1/1971,71642
11/1/1971,71847
12/1/1971,72109
1/1/1972,72441
2/1/1972,72648
3/1/1972,72944
4/1/1972,73162
5/1/1972,73469
6/1/1972,73758
7/1/1972,73709
8/1/1972,74141
9/1/1972,74264
10/1/1972,74674
11/1/1972,74973
12/1/1972,75268
1/1/1973,75617
2/1/1973,76014
3/1/1973,76284
4/1/1973,76455
5/1/1973,76648
6/1/1973,76887
7/1/1973,76913
8/1/1973,77168
9/1/1973,77276
10/1/1973,77607
11/1/1973,77920
12/1/1973,78031
1/1/1974,78100
2/1/1974,78254
3/1/1974,78296
4/1/1974,78382
5/1/1974,78549
6/1/1974,78604
7/1/1974,78636
8/1/1974,78619
9/1/1974,78610
10/1/1974,78630
11/1/1974,78265
12/1/1974,77652
1/1/1975,77293
2/1/1975,76918
3/1/1975,76648
4/1/1975,76460
5/1/1975,76624
6/1/1975,76521
7/1/1975,76770
8/1/1975,77153
9/1/1975,77228
10/1/1975,77540
11/1/1975,77685
12/1/1975,78017
1/1/1976,78503
2/1/1976,78816
3/1/1976,79048
4/1/1976,79292
5/1/1976,79312
6/1/1976,79376
7/1/1976,79547
8/1/1976,79704
9/1/1976,79892
10/1/1976,79911
11/1/1976,80240
12/1/1976,80448
1/1/1977,80690
2/1/1977,80988
3/1/1977,81391
4/1/1977,81728
5/1/1977,82088
6/1/1977,82488
7/1/1977,82834
8/1/1977,83075
9/1/1977,83532
10/1/1977,83800
11/1/1977,84173
12/1/1977,84410
1/1/1978,84594
2/1/1978,84948
3/1/1978,85460
4/1/1978,86162
5/1/1978,86509
6/1/1978,86950
7/1/1978,87204
8/1/1978,87483
9/1/1978,87621
10/1/1978,87956
11/1/1978,88391
12/1/1978,88671
1/1/1979,88808
2/1/1979,89055
3/1/1979,89479
4/1/1979,89417
5/1/1979,89789
6/1/1979,90108
7/1/1979,90217
8/1/1979,90300
9/1/1979,90327
10/1/1979,90481
11/1/1979,90573
12/1/1979,90672
1/1/1980,90800
2/1/1980,90883
3/1/1980,90994
4/1/1980,90849
5/1/1980,90420
6/1/1980,90101
7/1/1980,89840
8/1/1980,90099
9/1/1980,90213
10/1/1980,90490
11/1/1980,90747
12/1/1980,90943
1/1/1981,91033
2/1/1981,91105
3/1/1981,91210
4/1/1981,91283
5/1/1981,91296
6/1/1981,91490
7/1/1981,91601
8/1/1981,91565
9/1/1981,91477
10/1/1981,91380
11/1/1981,91171
12/1/1981,90895
1/1/1982,90565
2/1/1982,90563
3/1/1982,90434
4/1/1982,90150
5/1/1982,90107
6/1/1982,89865
7/1/1982,89521
8/1/1982,89363
9/1/1982,89183
10/1/1982,88907
11/1/1982,88786
12/1/1982,88771
1/1/1983,88990
2/1/1983,88917
3/1/1983,89090
4/1/1983,89364
5/1/1983,89644
6/1/1983,90021
7/1/1983,90437
8/1/1983,90129
9/1/1983,91247
10/1/1983,91520
11/1/1983,91875
12/1/1983,92230
1/1/1984,92673
2/1/1984,93157
3/1/1984,93429
4/1/1984,93792
5/1/1984,94098
6/1/1984,94479
7/1/1984,94789
8/1/1984,95032
9/1/1984,95344
10/1/1984,95629
11/1/1984,95982
12/1/1984,96107
1/1/1985,96372
2/1/1985,96503
3/1/1985,96842
4/1/1985,97038
5/1/1985,97312
6/1/1985,97459
7/1/1985,97648
8/1/1985,97840
9/1/1985,98045
10/1/1985,98233
11/1/1985,98443
12/1/1985,98609
1/1/1986,98732
2/1/1986,98847
3/1/1986,98934
4/1/1986,99121
5/1/1986,99248
6/1/1986,99155
7/1/1986,99473
8/1/1986,99588
9/1/1986,99934
10/1/1986,100121
11/1/1986,100308
12/1/1986,100509
1/1/1987,100678
2/1/1987,100919
3/1/1987,101164
4/1/1987,101499
5/1/1987,101728
6/1/1987,101900
7/1/1987,102247
8/1/1987,102420
9/1/1987,102647
10/1/1987,103138
11/1/1987,103372
12/1/1987,103661
1/1/1988,103753
2/1/1988,104214
3/1/1988,104489
4/1/1988,104732
5/1/1988,104962
6/1/1988,105326
7/1/1988,105550
8/1/1988,105674
9/1/1988,106013
10/1/1988,106276
11/1/1988,106617
12/1/1988,106898
1/1/1989,107161
2/1/1989,107427
3/1/1989,107621
4/1/1989,107791
5/1/1989,107913
6/1/1989,108027
7/1/1989,108069
8/1/1989,108120
9/1/1989,108369
10/1/1989,108476
11/1/1989,108752
12/1/1989,108836
1/1/1990,109197
2/1/1990,109435
3/1/1990,109644
4/1/1990,109688
5/1/1990,109839
6/1/1990,109857
7/1/1990,109824
8/1/1990,109617
9/1/1990,109520
10/1/1990,109367
11/1/1990,109213
12/1/1990,109167
1/1/1991,109056
2/1/1991,108735
3/1/1991,108576
4/1/1991,108367
5/1/1991,108251
6/1/1991,108337
7/1/1991,108292
8/1/1991,108313
9/1/1991,108338
10/1/1991,108357
11/1/1991,108297
12/1/1991,108330
1/1/1992,108372
2/1/1992,108313
3/1/1992,108368
4/1/1992,108523
5/1/1992,108652
6/1/1992,108719
7/1/1992,108794
8/1/1992,108929
9/1/1992,108963
10/1/1992,109144
11/1/1992,109277
12/1/1992,109499
1/1/1993,109799
2/1/1993,110047
3/1/1993,109999
4/1/1993,110302
5/1/1993,110573
6/1/1993,110752
7/1/1993,111057
8/1/1993,111211
9/1/1993,111452
10/1/1993,111737
11/1/1993,111990
12/1/1993,112319
1/1/1994,112601
2/1/1994,112785
3/1/1994,113248
4/1/1994,113592
5/1/1994,113928
6/1/1994,114242
7/1/1994,114613
8/1/1994,114902
9/1/1994,115251
10/1/1994,115464
11/1/1994,115876
12/1/1994,116171
1/1/1995,116508
2/1/1995,116702
3/1/1995,116913
4/1/1995,117076
5/1/1995,117056
6/1/1995,117293
7/1/1995,117386
8/1/1995,117642
9/1/1995,117881
10/1/1995,118038
11/1/1995,118182
12/1/1995,118328
1/1/1996,118323
2/1/1996,118744
3/1/1996,119001
4/1/1996,119168
5/1/1996,119496
6/1/1996,119778
7/1/1996,120020
8/1/1996,120207
9/1/1996,120418
10/1/1996,120674
11/1/1996,120969
12/1/1996,121152
1/1/1997,121372
2/1/1997,121682
3/1/1997,121999
4/1/1997,122296
5/1/1997,122557
6/1/1997,122825
7/1/1997,123119
8/1/1997,123099
9/1/1997,123594
10/1/1997,123940
11/1/1997,124246
12/1/1997,124559
1/1/1998,124823
2/1/1998,125024
3/1/1998,125174
4/1/1998,125453
5/1/1998,125855
6/1/1998,126087
7/1/1998,126213
8/1/1998,126551
9/1/1998,126764
10/1/1998,126968
11/1/1998,127243
12/1/1998,127607
1/1/1999,127713
2/1/1999,128131
3/1/1999,128239
4/1/1999,128610
5/1/1999,128822
6/1/1999,129099
7/1/1999,129420
8/1/1999,129576
9/1/1999,129781
10/1/1999,130190
11/1/1999,130479
12/1/1999,130786
1/1/2000,131020
2/1/2000,131136
3/1/2000,131609
4/1/2000,131900
5/1/2000,132118
6/1/2000,132079
7/1/2000,132247
8/1/2000,132240
9/1/2000,132364
10/1/2000,132365
11/1/2000,132570
12/1/2000,132722
1/1/2001,132712
2/1/2001,132804
3/1/2001,132761
4/1/2001,132475
5/1/2001,132426
6/1/2001,132312
7/1/2001,132187
8/1/2001,132043
9/1/2001,131791
10/1/2001,131468
11/1/2001,131158
12/1/2001,130997
1/1/2002,130868
2/1/2002,130752
3/1/2002,130732
4/1/2002,130636
5/1/2002,130647
6/1/2002,130695
7/1/2002,130604
8/1/2002,130603
9/1/2002,130524
10/1/2002,130643
11/1/2002,130632
12/1/2002,130488
1/1/2003,130596
2/1/2003,130461
3/1/2003,130246
4/1/2003,130194
5/1/2003,130210
6/1/2003,130209
7/1/2003,130207
8/1/2003,130167
9/1/2003,130279
10/1/2003,130473
11/1/2003,130490
12/1/2003,130605
1/1/2004,130787
