DATE,UNRATE,PAYEMS
1/1/1960,5.2,54274
2/1/1960,4.8,54513
3/1/1960,5.4,54454
4/1/1960,5.2,54813
5/1/1960,5.1,54475
6/1/1960,5.4,54348
7/1/1960,5.5,54306
8/1/1960,5.6,54272
9/1/1960,5.5,54227
10/1/1960,6.1,54142
11/1/1960,6.1,53961
12/1/1960,6.6,53742
1/1/1961,6.6,53683
2/1/1961,6.9,53557
3/1/1961,6.9,53659
4/1/1961,7.0,53627
5/1/1961,7.1,53786
6/1/1961,6.9,53977
7/1/1961,7.0,54123
8/1/1961,6.6,54298
9/1/1961,6.7,54388
10/1/1961,6.5,54522
11/1/1961,6.1,54742
12/1/1961,6.0,54872
1/1/1962,5.8,54891
2/1/1962,5.5,55188
3/1/1962,5.6,55275
4/1/1962,5.6,55602
5/1/1962,5.5,55628
6/1/1962,5.5,55644
7/1/1962,5.4,55746
8/1/1962,5.7,55838
9/1/1962,5.6,55978
10/1/1962,5.4,56041
11/1/1962,5.7,56056
12/1/1962,5.5,56028
1/1/1963,5.7,56115
2/1/1963,5.9,56230
3/1/1963,5.7,56320
4/1/1963,5.7,56580
5/1/1963,5.9,56616
6/1/1963,5.6,56659
7/1/1963,5.6,56794
8/1/1963,5.4,56910
9/1/1963,5.5,57078
10/1/1963,5.5,57283
11/1/1963,5.7,57255
12/1/1963,5.5,57361
1/1/1964,5.6,57487
2/1/1964,5.4,57753
3/1/1964,5.4,57897
4/1/1964,5.3,57922
5/1/1964,5.1,58089
6/1/1964,5.2,58219
7/1/1964,4.9,58412
8/1/1964,5.0,58619
9/1/1964,5.1,58903
10/1/1964,5.1,58793
11/1/1964,4.8,59218
12/1/1964,5.0,59421
1/1/1965,4.9,59582
2/1/1965,5.1,59800
3/1/1965,4.7,60003
4/1/1965,4.8,60259
5/1/1965,4.6,60491
6/1/1965,4.6,60690
7/1/1965,4.4,60965
8/1/1965,4.4,61228
9/1/1965,4.3,61490
10/1/1965,4.2,61719
11/1/1965,4.1,61996
12/1/1965,4.0,62322
1/1/1966,4.0,62529
2/1/1966,3.8,62796
3/1/1966,3.8,63192
4/1/1966,3.8,63437
5/1/1966,3.9,63712
6/1/1966,3.8,64111
7/1/1966,3.8,64301
8/1/1966,3.8,64507
9/1/1966,3.7,64643
10/1/1966,3.7,64854
11/1/1966,3.6,65019
12/1/1966,3.8,65199
1/1/1967,3.9,65407
2/1/1967,3.8,65429
3/1/1967,3.8,65530
4/1/1967,3.8,65466
5/1/1967,3.8,65620
6/1/1967,3.9,65750
7/1/1967,3.8,65888
8/1/1967,3.8,66143
9/1/1967,3.8,66164
10/1/1967,4.0,66225
11/1/1967,3.9,66703
12/1/1967,3.8,66900
1/1/1968,3.7,66804
2/1/1968,3.8,67215
3/1/1968,3.7,67295
4/1/1968,3.5,67556
5/1/1968,3.5,67652
6/1/1968,3.7,67905
7/1/1968,3.7,68126
8/1/1968,3.5,68330
9/1/1968,3.4,68484
10/1/1968,3.4,68721
11/1/1968,3.4,68984
12/1/1968,3.4,69248
1/1/1969,3.4,69439
2/1/1969,3.4,69699
3/1/1969,3.4,69905
4/1/1969,3.4,70072
5/1/1969,3.4,70328
6/1/1969,3.5,70636
7/1/1969,3.5,70729
8/1/1969,3.5,71008
9/1/1969,3.7,70914
10/1/1969,3.7,71121
11/1/1969,3.5,71086
12/1/1969,3.5,71241
1/1/1970,3.9,71176
2/1/1970,4.2,71305
3/1/1970,4.4,71451
4/1/1970,4.6,71348
5/1/1970,4.8,71124
6/1/1970,4.9,71029
7/1/1970,5.0,71053
8/1/1970,5.1,70937
9/1/1970,5.4,70944
10/1/1970,5.5,70521
11/1/1970,5.9,70409
12/1/1970,6.1,70792
1/1/1971,5.9,70865
2/1/1971,5.9,70807
3/1/1971,6.0,70860
4/1/1971,5.9,71036
5/1/1971,5.9,71247
6/1/1971,5.9,71254
7/1/1971,6.0,71315
8/1/1971,6.1,71373
9/1/1971,6.0,71614
10/1/1971,5.8,71642
11/1/1971,6.0,71847
12/1/1971,6.0,72109
1/1/1972,5.8,72441
2/1/1972,5.7,72648
3/1/1972,5.8,72944
4/1/1972,5.7,73162
5/1/1972,5.7,73469
6/1/1972,5.7,73758
7/1/1972,5.6,73709
8/1/1972,5.6,74141
9/1/1972,5.5,74264
10/1/1972,5.6,74674
11/1/1972,5.3,74973
12/1/1972,5.2,75268
1/1/1973,4.9,75617
2/1/1973,5.0,76014
3/1/1973,4.9,76284
4/1/1973,5.0,76455
5/1/1973,4.9,76648
6/1/1973,4.9,76887
7/1/1973,4.8,76913
8/1/1973,4.8,77168
9/1/1973,4.8,77276
10/1/1973,4.6,77607
11/1/1973,4.8,77920
12/1/1973,4.9,78031
1/1/1974,5.1,78100
2/1/1974,5.2,78254
3/1/1974,5.1,78296
4/1/1974,5.1,78382
5/1/1974,5.1,78549
6/1/1974,5.4,78604
7/1/1974,5.5,78636
8/1/1974,5.5,78619
9/1/1974,5.9,78610
10/1/1974,6.0,78630
11/1/1974,6.6,78265
12/1/1974,7.2,77652
1/1/1975,8.1,77293
2/1/1975,8.1,76918
3/1/1975,8.6,76648
4/1/1975,8.8,76460
5/1/1975,9.0,76624
6/1/1975,8.8,76521
7/1/1975,8.6,76770
8/1/1975,8.4,77153
9/1/1975,8.4,77228
10/1/1975,8.4,77540
11/1/1975,8.3,77685
12/1/1975,8.2,78017
1/1/1976,7.9,78503
2/1/1976,7.7,78816
3/1/1976,7.6,79048
4/1/1976,7.7,79292
5/1/1976,7.4,79312
6/1/1976,7.6,79376
7/1/1976,7.8,79547
8/1/1976,7.8,79704
9/1/1976,7.6,79892
10/1/1976,7.7,79911
11/1/1976,7.8,80240
12/1/1976,7.8,80448
1/1/1977,7.5,80690
2/1/1977,7.6,80988
3/1/1977,7.4,81391
4/1/1977,7.2,81728
5/1/1977,7.0,82088
6/1/1977,7.2,82488
7/1/1977,6.9,82834
8/1/1977,7.0,83075
9/1/1977,6.8,83532
