Start Date,End Date,Approving,Disapproving,Unsure/NoData,Year,Month
1993-01-08,1993-01-11,56,37,7,1993,1
1992-12-18,1992-12-20,49,40,10,1992,12
1992-12-04,1992-12-06,48,47,3,1992,12
1992-11-20,1992-11-22,42,46,11,1992,11
1992-11-20,1992-11-22,42,46,11,1992,11
1992-10-22,1992-10-23,37,58,4,1992,10
1992-10-12,1992-10-14,34,56,9,1992,10
1992-09-24,1992-10-13,29,59,10,1992,10
1992-10-01,1992-10-03,33,57,8,1992,10
1992-09-17,1992-09-20,36,53,9,1992,9
1992-09-11,1992-09-15,39,54,6,1992,9
1992-09-10,1992-09-11,35,58,6,1992,9
1992-08-31,1992-09-02,39,53,6,1992,9
1992-08-21,1992-08-23,39,54,6,1992,8
1992-08-21,1992-08-21,37,55,6,1992,8
1992-08-13,1992-08-14,36,57,5,1992,8
1992-08-10,1992-08-12,35,58,6,1992,8
1992-08-06,1992-08-07,34,59,6,1992,8
1992-07-31,1992-08-02,29,59,10,1992,8
1992-07-24,1992-07-26,31,59,9,1992,7
1992-07-23,1992-07-24,31,59,8,1992,7
1992-06-26,1992-07-01,38,54,6,1992,7
1992-06-12,1992-06-14,36,54,8,1992,6
1992-06-04,1992-06-08,36,56,6,1992,6
1992-05-18,1992-05-20,41,51,7,1992,5
1992-04-23,1992-05-14,40,48,10,1992,5
1992-05-07,1992-05-10,40,52,6,1992,5
1992-04-20,1992-04-22,42,47,10,1992,4
1992-04-09,1992-04-12,39,53,6,1992,4
1992-03-26,1992-03-29,41,51,7,1992,3
1992-03-12,1992-03-28,40,48,10,1992,3
1992-03-20,1992-03-22,40,49,9,1992,3
1992-03-11,1992-03-12,41,46,11,1992,3
1992-02-28,1992-03-01,41,52,5,1992,3
1992-02-14,1992-02-27,38,50,10,1992,2
1992-02-20,1992-02-21,41,51,7,1992,2
1992-02-19,1992-02-20,38,47,13,1992,2
1992-02-06,1992-02-09,43,47,8,1992,2
1992-01-31,1992-02-02,46,48,5,1992,2
1992-01-28,1992-01-28,43,51,4,1992,1
1992-01-16,1992-01-19,45,47,6,1992,1
1992-01-03,1992-01-06,46,46,7,1992,1
