Start Date,End Date,Approving,Disapproving,Unsure/NoData,Year,Month
01/09/2009,2009-01-11,34,61,5,2009,1
12/12/2008,2008-12-14,29,67,4,2008,12
12/04/2008,2008-12-07,32,61,7,2008,12
11/13/2008,2008-11-16,29,66,4,2008,11
11/07/2008,2008-11-09,28,68,5,2008,11
10/31/2008,2008-11-02,25,70,5,2008,11
10/23/2008,2008-10-26,31,66,3,2008,10
10/10/2008,2008-10-12,25,71,4,2008,10
10/03/2008,2008-10-05,25,70,6,2008,10
09/26/2008,2008-09-27,27,69,4,2008,9
09/05/2008,2008-09-07,33,64,3,2008,9
08/21/2008,2008-08-23,29,66,5,2008,8
08/07/2008,2008-08-10,33,61,6,2008,8
07/25/2008,2008-07-27,32,65,3,2008,7
07/10/2008,2008-07-13,31,61,8,2008,7
06/15/2008,2008-06-19,28,68,4,2008,6
06/09/2008,2008-06-12,30,64,6,2008,6
05/30/2008,2008-06-01,28,68,4,2008,6
05/01/2008,2008-05-03,28,67,5,2008,5
04/18/2008,2008-04-20,28,69,4,2008,4
04/06/2008,2008-04-09,28,67,5,2008,4
03/14/2008,2008-03-16,32,64,4,2008,3
03/06/2008,2008-03-09,32,64,4,2008,3
02/21/2008,2008-02-24,32,62,5,2008,2
02/11/2008,2008-02-14,31,65,4,2008,2
02/08/2008,2008-02-10,33,61,5,2008,2
01/30/2008,2008-02-02,34,61,5,2008,2
01/10/2008,2008-01-13,34,60,6,2008,1
01/04/2008,2008-01-06,32,64,4,2008,1
12/14/2007,2007-12-16,32,65,3,2007,12
12/06/2007,2007-12-09,37,57,5,2007,12
11/30/2007,2007-12-02,34,62,4,2007,12
11/11/2007,2007-11-14,32,61,7,2007,11
11/02/2007,2007-11-04,31,64,5,2007,11
10/12/2007,2007-10-14,32,64,3,2007,10
10/04/2007,2007-10-07,32,64,4,2007,10
09/14/2007,2007-09-16,36,62,2,2007,9
09/07/2007,2007-09-08,33,62,5,2007,9
08/13/2007,2007-08-16,32,63,5,2007,8
08/03/2007,2007-08-05,34,62,4,2007,8
07/12/2007,2007-07-15,31,63,6,2007,7
07/06/2007,2007-07-08,29,66,5,2007,7
06/11/2007,2007-06-14,32,65,3,2007,6
06/01/2007,2007-06-03,32,62,6,2007,6
05/10/2007,2007-05-13,33,62,5,2007,5
05/04/2007,2007-05-06,34,63,3,2007,5
04/13/2007,2007-04-15,36,60,4,2007,4
04/02/2007,2007-04-05,38,58,4,2007,4
03/23/2007,2007-03-25,34,62,4,2007,3
03/11/2007,2007-03-14,35,61,4,2007,3
03/02/2007,2007-03-04,33,63,4,2007,3
02/09/2007,2007-02-11,37,59,3,2007,2
02/01/2007,2007-02-04,32,65,4,2007,2
01/12/2007,2007-01-14,34,63,4,2007,1
01/05/2007,2007-01-07,37,59,4,2007,1
12/11/2006,2006-12-14,35,61,4,2006,12
12/08/2006,2006-12-10,38,59,4,2006,12
11/09/2006,2006-11-12,33,62,4,2006,11
11/02/2006,2006-11-05,38,56,6,2006,11
10/20/2006,2006-10-22,37,58,4,2006,10
10/09/2006,2006-10-12,37,57,6,2006,10
10/06/2006,2006-10-08,37,59,4,2006,10
09/15/2006,2006-09-17,44,51,5,2006,9
09/07/2006,2006-09-10,39,56,5,2006,9
08/18/2006,2006-08-20,42,54,4,2006,8
08/07/2006,2006-08-10,37,59,4,2006,8
07/28/2006,2006-07-30,40,56,4,2006,7
07/21/2006,2006-07-23,37,59,4,2006,7
07/06/2006,2006-07-09,40,55,5,2006,7
06/23/2006,2006-06-25,37,60,3,2006,6
06/09/2006,2006-06-11,38,56,6,2006,6
06/01/2006,2006-06-04,36,57,6,2006,6
05/08/2006,2006-05-11,33,61,6,2006,5
05/05/2006,2006-05-07,31,65,5,2006,5
04/28/2006,2006-04-30,34,63,3,2006,4
04/10/2006,2006-04-13,36,59,5,2006,4
04/07/2006,2006-04-09,37,60,3,2006,4
03/13/2006,2006-03-16,37,59,5,2006,3
03/10/2006,2006-03-12,36,60,4,2006,3
02/28/2006,2006-03-01,38,60,2,2006,3
02/09/2006,2006-02-12,39,56,4,2006,2
02/06/2006,2006-02-09,42,55,4,2006,2
01/20/2006,2006-01-22,43,54,4,2006,1
01/09/2006,2006-01-12,43,53,4,2006,1
01/06/2006,2006-01-08,43,54,3,2006,1
12/19/2005,2005-12-22,43,53,4,2005,12
12/16/2005,2005-12-18,41,56,3,2005,12
12/09/2005,2005-12-11,42,55,3,2005,12
12/05/2005,2005-12-08,43,51,4,2005,12
11/17/2005,2005-11-20,38,56,4,2005,11
11/11/2005,2005-11-13,36,60,3,2005,11
11/07/2005,2005-11-10,40,54,4,2005,11
10/28/2005,2005-10-30,40,56,2,2005,10
10/24/2005,2005-10-27,40,55,3,2005,10
10/21/2005,2005-10-23,41,54,3,2005,10
10/13/2005,2005-10-16,39,57,3,2005,10
09/26/2005,2005-09-28,45,50,4,2005,9
09/16/2005,2005-09-18,39,57,2,2005,9
09/12/2005,2005-09-15,44,52,3,2005,9
09/08/2005,2005-09-11,46,50,3,2005,9
08/28/2005,2005-08-30,45,52,2,2005,8
08/22/2005,2005-08-25,39,55,4,2005,8
08/08/2005,2005-08-11,45,50,4,2005,8
07/22/2005,2005-07-24,48,47,3,2005,7
07/07/2005,2005-07-10,48,48,3,2005,7
06/06/2005,2005-06-26,41,52,6,2005,6
06/16/2005,2005-06-19,47,50,2,2005,6
06/06/2005,2005-06-08,47,48,4,2005,6
05/23/2005,2005-05-26,47,47,4,2005,5
05/20/2005,2005-05-22,45,50,3,2005,5
05/02/2005,2005-05-05,50,45,4,2005,5
04/29/2005,2005-05-01,47,49,3,2005,5
04/18/2005,2005-04-21,47,48,3,2005,4
04/04/2005,2005-04-07,50,44,4,2005,4
04/01/2005,2005-04-02,47,48,3,2005,4
03/18/2005,2005-03-20,51,44,4,2005,3
03/07/2005,2005-03-10,52,43,4,2005,3
