Start Date,End Date,Approving,Disapproving,Unsure/NoData,Year,Month
12/05/1980,1980-12-08,34,55,11,1980,12
11/18/1980,1980-11-18,31,56,12,1980,11
09/09/1980,1980-09-09,37,54,7,1980,9
08/12/1980,1980-08-12,32,54,13,1980,8
07/08/1980,1980-07-08,32,54,12,1980,7
06/24/1980,1980-06-24,30,58,10,1980,6
06/10/1980,1980-06-10,32,55,11,1980,6
05/27/1980,1980-05-27,38,51,10,1980,5
05/13/1980,1980-05-13,38,50,10,1980,5
04/29/1980,1980-04-29,42,47,10,1980,4
04/08/1980,1980-04-08,38,50,10,1980,4
03/24/1980,1980-03-24,39,50,10,1980,3
03/04/1980,1980-03-04,42,44,12,1980,3
02/26/1980,1980-02-26,51,38,10,1980,2
01/29/1980,1980-01-29,55,35,8,1980,1
01/22/1980,1980-01-22,57,32,9,1980,1
01/02/1980,1980-01-02,56,33,10,1980,1
12/04/1979,1979-12-04,54,35,10,1979,12
11/27/1979,1979-11-27,51,36,11,1979,11
11/13/1979,1979-11-13,37,49,12,1979,11
10/30/1979,1979-10-30,31,55,12,1979,10
10/12/1979,1979-10-15,31,54,13,1979,10
10/02/1979,1979-10-02,28,58,12,1979,10
09/25/1979,1979-09-25,32,53,13,1979,9
09/04/1979,1979-09-04,29,55,14,1979,9
08/14/1979,1979-08-14,32,53,13,1979,8
08/07/1979,1979-08-07,33,54,11,1979,8
07/31/1979,1979-07-31,32,53,14,1979,7
07/30/1979,1979-07-30,32,53,14,1979,7
07/10/1979,1979-07-10,29,57,13,1979,7
06/26/1979,1979-06-26,28,59,12,1979,6
06/19/1979,1979-06-19,29,56,13,1979,6
05/29/1979,1979-05-29,29,55,15,1979,5
05/15/1979,1979-05-15,32,52,15,1979,5
05/01/1979,1979-05-01,37,48,14,1979,5
04/03/1979,1979-04-03,40,45,13,1979,4
03/20/1979,1979-03-20,42,43,13,1979,3
03/13/1979,1979-03-13,46,39,13,1979,3
02/27/1979,1979-02-27,39,47,12,1979,2
02/20/1979,1979-02-20,37,46,16,1979,2
01/30/1979,1979-01-30,42,42,15,1979,1
01/16/1979,1979-01-16,43,41,15,1979,1
01/02/1979,1979-01-02,50,35,13,1979,1
12/05/1978,1978-12-05,51,33,15,1978,12
11/28/1978,1978-11-28,50,33,16,1978,11
10/24/1978,1978-10-24,49,36,14,1978,10
09/19/1978,1978-09-19,47,34,18,1978,9
09/11/1978,1978-09-11,44,40,15,1978,9
09/05/1978,1978-09-05,42,41,16,1978,9
08/15/1978,1978-08-15,42,40,16,1978,8
08/08/1978,1978-08-08,40,43,16,1978,8
08/01/1978,1978-08-01,39,43,17,1978,8
07/18/1978,1978-07-18,38,44,17,1978,7
07/05/1978,1978-07-05,40,41,18,1978,7
06/13/1978,1978-06-13,42,42,15,1978,6
05/30/1978,1978-05-30,43,40,15,1978,5
05/16/1978,1978-05-16,42,43,14,1978,5
05/03/1978,1978-05-03,41,42,15,1978,5
04/25/1978,1978-04-25,41,41,17,1978,4
04/11/1978,1978-04-11,40,43,15,1978,4
03/28/1978,1978-03-28,47,38,13,1978,3
03/07/1978,1978-03-07,49,34,15,1978,3
03/01/1978,1978-03-01,48,33,18,1978,3
02/21/1978,1978-02-21,50,33,16,1978,2
02/11/1978,1978-02-11,46,34,18,1978,2
01/17/1978,1978-01-17,51,28,19,1978,1
01/03/1978,1978-01-03,54,26,18,1978,1
12/06/1977,1977-12-06,56,27,16,1977,12
11/15/1977,1977-11-15,55,29,14,1977,11
11/01/1977,1977-11-01,54,30,15,1977,11
10/25/1977,1977-10-25,51,30,18,1977,10
10/18/1977,1977-10-18,54,29,16,1977,10
10/11/1977,1977-10-11,54,29,15,1977,10
09/27/1977,1977-09-27,59,23,17,1977,9
09/06/1977,1977-09-06,53,29,17,1977,9
08/16/1977,1977-08-16,66,15,18,1977,8
08/02/1977,1977-08-02,59,22,17,1977,8
07/19/1977,1977-07-19,66,17,16,1977,7
07/05/1977,1977-07-05,62,22,15,1977,7
06/14/1977,1977-06-14,63,17,18,1977,6
05/31/1977,1977-05-31,62,19,18,1977,5
05/17/1977,1977-05-17,63,18,17,1977,5
05/06/1977,1977-05-09,65,18,15,1977,5
04/29/1977,1977-05-02,63,18,19,1977,5
04/12/1977,1977-04-12,63,17,19,1977,4
03/29/1977,1977-03-29,67,14,18,1977,3
03/22/1977,1977-03-22,71,10,18,1977,3
03/15/1977,1977-03-15,74,8,16,1977,3
03/01/1977,1977-03-01,70,9,20,1977,3
02/15/1977,1977-02-15,71,8,20,1977,2
02/04/1977,1977-02-07,66,8,26,1977,2
