Start Date,End Date,Approving,Disapproving,Unsure/NoData,Year,Month
08/02/1974,1974-08-05,24,66,10,1974,8
07/09/1974,1974-07-09,23,62,13,1974,7
06/25/1974,1974-06-25,27,58,14,1974,6
06/18/1974,1974-06-18,25,61,13,1974,6
05/28/1974,1974-05-28,27,60,11,1974,5
05/17/1974,1974-05-20,26,61,12,1974,5
05/07/1974,1974-05-07,24,61,13,1974,5
04/30/1974,1974-04-30,25,57,16,1974,4
04/01/1974,1974-04-30,26,59,14,1974,4
04/09/1974,1974-04-09,25,61,13,1974,4
03/26/1974,1974-03-26,25,65,9,1974,3
03/12/1974,1974-03-12,26,62,11,1974,3
02/12/1974,1974-02-12,25,63,11,1974,2
02/12/1974,1974-02-12,26,63,9,1974,2
01/29/1974,1974-01-29,28,58,12,1974,1
01/15/1974,1974-01-15,26,63,9,1974,1
01/02/1974,1974-01-02,22,54,22,1974,1
12/04/1973,1973-12-04,28,60,11,1973,12
11/27/1973,1973-11-27,30,58,10,1973,11
10/30/1973,1973-10-30,26,62,10,1973,10
10/16/1973,1973-10-16,27,59,13,1973,10
10/02/1973,1973-10-02,29,56,13,1973,10
09/18/1973,1973-09-18,32,58,8,1973,9
09/04/1973,1973-09-04,33,55,10,1973,9
08/14/1973,1973-08-14,36,54,9,1973,8
07/03/1973,1973-07-03,39,49,11,1973,7
05/29/1973,1973-05-29,42,42,14,1973,5
05/08/1973,1973-05-08,44,45,10,1973,5
05/01/1973,1973-05-01,44,41,14,1973,5
05/01/1973,1973-05-01,44,42,12,1973,5
04/24/1973,1973-04-24,47,40,11,1973,4
04/03/1973,1973-04-03,53,36,9,1973,4
03/27/1973,1973-03-27,57,33,8,1973,3
02/13/1973,1973-02-13,65,25,9,1973,2
01/23/1973,1973-01-23,66,25,8,1973,1
01/09/1973,1973-01-09,51,36,12,1973,1
12/05/1972,1972-12-05,59,29,11,1972,12
11/01/1972,1972-11-30,62,28,9,1972,11
06/20/1972,1972-06-20,56,32,10,1972,6
06/13/1972,1972-06-13,59,30,10,1972,6
05/23/1972,1972-05-23,61,30,8,1972,5
04/25/1972,1972-04-25,53,36,9,1972,4
03/21/1972,1972-03-21,52,36,10,1972,3
02/29/1972,1972-02-29,55,31,12,1972,2
02/01/1972,1972-02-01,51,36,11,1972,2
01/04/1972,1972-01-04,49,39,11,1972,1
12/10/1971,1971-12-13,49,36,13,1971,12
10/29/1971,1971-11-02,49,36,14,1971,11
10/08/1971,1971-10-11,50,36,13,1971,10
08/27/1971,1971-08-30,47,37,15,1971,8
08/25/1971,1971-08-25,47,43,9,1971,8
07/15/1971,1971-07-18,47,34,17,1971,7
06/25/1971,1971-06-28,44,36,19,1971,6
06/04/1971,1971-06-07,43,32,24,1971,6
05/14/1971,1971-05-17,40,28,31,1971,5
04/23/1971,1971-04-26,47,36,15,1971,4
03/30/1971,1971-03-30,48,38,12,1971,3
03/11/1971,1971-03-14,49,36,13,1971,3
02/19/1971,1971-02-22,49,36,13,1971,2
01/08/1971,1971-01-11,55,33,10,1971,1
12/03/1970,1970-12-08,48,32,19,1970,12
11/13/1970,1970-11-17,56,29,13,1970,11
10/09/1970,1970-10-14,57,27,14,1970,10
09/25/1970,1970-09-28,51,31,17,1970,9
09/11/1970,1970-09-14,57,29,13,1970,9
08/25/1970,1970-09-01,54,30,14,1970,9
07/31/1970,1970-08-02,54,31,13,1970,8
07/09/1970,1970-07-14,60,28,10,1970,7
06/18/1970,1970-06-23,54,31,14,1970,6
05/22/1970,1970-05-25,59,28,11,1970,5
04/29/1970,1970-05-03,57,31,11,1970,5
04/17/1970,1970-04-19,56,30,13,1970,4
03/18/1970,1970-03-25,53,30,16,1970,3
03/13/1970,1970-03-15,54,34,11,1970,3
02/27/1970,1970-03-02,55,26,17,1970,3
01/30/1970,1970-02-02,60,22,16,1970,2
01/15/1970,1970-01-20,56,20,22,1970,1
01/02/1970,1970-01-05,58,20,21,1970,1
12/01/1969,1969-12-30,53,37,8,1969,12
12/12/1969,1969-12-15,56,21,21,1969,12
11/12/1969,1969-11-17,64,18,16,1969,11
10/17/1969,1969-10-22,55,28,16,1969,10
10/02/1969,1969-10-07,53,22,23,1969,10
09/17/1969,1969-09-22,54,21,23,1969,9
09/11/1969,1969-09-16,56,21,21,1969,9
08/14/1969,1969-08-19,58,18,22,1969,8
07/24/1969,1969-07-29,62,20,16,1969,7
07/10/1969,1969-07-15,57,22,19,1969,7
06/19/1969,1969-06-24,63,15,21,1969,6
05/22/1969,1969-05-27,59,14,25,1969,5
05/15/1969,1969-05-20,62,11,25,1969,5
05/01/1969,1969-05-06,62,15,23,1969,5
04/04/1969,1969-04-30,56,27,15,1969,4
04/04/1969,1969-04-10,59,11,28,1969,4
03/27/1969,1969-04-01,62,10,27,1969,4
03/12/1969,1969-03-17,65,8,26,1969,3
02/20/1969,1969-02-25,59,6,34,1969,2
01/23/1969,1969-01-28,59,5,36,1969,1
