Start Date,End Date,Approving,Disapproving,Unsure/NoData,Year,Month
12/27/1988,1988-12-29,63,29,8,1988,12
11/11/1988,1988-11-14,56,35,8,1988,11
09/09/1988,1988-09-11,53,37,9,1988,9
07/01/1988,1988-07-07,50,35,14,1988,7
05/13/1988,1988-05-15,49,37,12,1988,5
03/08/1988,1988-03-12,51,36,11,1988,3
03/10/1988,1988-03-10,51,41,6,1988,3
02/04/1988,1988-02-04,52,36,10,1988,2
12/15/1987,1987-12-15,51,35,12,1987,12
12/08/1987,1987-12-11,61,32,6,1987,12
11/06/1987,1987-11-06,52,38,9,1987,11
10/23/1987,1987-10-26,50,40,8,1987,10
10/23/1987,1987-10-26,50,40,8,1987,10
10/22/1987,1987-10-23,48,38,12,1987,10
10/07/1987,1987-10-09,47,41,11,1987,10
09/25/1987,1987-10-04,51,38,10,1987,10
09/02/1987,1987-09-03,51,36,11,1987,9
08/24/1987,1987-09-02,48,42,8,1987,9
07/10/1987,1987-07-13,48,43,8,1987,7
07/09/1987,1987-07-10,50,39,10,1987,7
06/01/1987,1987-06-01,45,40,14,1987,6
05/17/1987,1987-05-18,49,42,8,1987,5
04/29/1987,1987-04-30,47,44,8,1987,4
04/10/1987,1987-04-13,48,43,8,1987,4
03/14/1987,1987-03-18,46,43,9,1987,3
03/05/1987,1987-03-06,46,45,8,1987,3
02/27/1987,1987-02-27,40,52,7,1987,2
01/28/1987,1987-01-29,49,40,9,1987,1
01/16/1987,1987-01-19,48,42,8,1987,1
01/07/1987,1987-01-08,52,36,10,1987,1
12/04/1986,1986-12-05,47,43,8,1986,12
12/04/1986,1986-12-05,47,43,8,1986,12
10/01/1986,1986-10-02,64,28,7,1986,10
09/13/1986,1986-09-17,62,26,10,1986,9
08/20/1986,1986-08-21,63,28,7,1986,8
07/31/1986,1986-07-31,59,28,12,1986,7
07/11/1986,1986-07-14,63,27,8,1986,7
07/01/1986,1986-07-02,67,22,9,1986,7
06/09/1986,1986-06-16,67,23,9,1986,6
04/30/1986,1986-05-01,67,21,10,1986,5
04/11/1986,1986-04-20,61,28,9,1986,4
04/17/1986,1986-04-18,67,20,12,1986,4
04/11/1986,1986-04-14,61,28,9,1986,4
03/26/1986,1986-03-27,63,24,12,1986,3
03/04/1986,1986-03-10,63,25,11,1986,3
01/29/1986,1986-01-30,71,19,8,1986,1
01/10/1986,1986-01-13,63,27,9,1986,1
11/19/1985,1985-11-19,66,26,7,1985,11
11/11/1985,1985-11-18,65,23,10,1985,11
11/13/1985,1985-11-14,69,23,6,1985,11
10/11/1985,1985-10-14,62,29,8,1985,10
08/27/1985,1985-08-28,61,29,9,1985,8
08/13/1985,1985-08-14,65,25,8,1985,8
08/01/1985,1985-08-02,62,24,13,1985,8
07/17/1985,1985-07-18,67,20,11,1985,7
07/12/1985,1985-07-15,62,28,9,1985,7
06/20/1985,1985-06-21,65,25,9,1985,6
06/07/1985,1985-06-10,57,32,9,1985,6
05/17/1985,1985-05-20,55,36,8,1985,5
04/26/1985,1985-04-26,54,32,12,1985,4
04/12/1985,1985-04-15,52,37,10,1985,4
03/08/1985,1985-03-11,55,37,7,1985,3
02/28/1985,1985-03-01,57,30,11,1985,3
02/15/1985,1985-02-18,59,31,9,1985,2
01/25/1985,1985-01-28,63,28,7,1985,1
01/11/1985,1985-01-14,61,29,9,1985,1
01/03/1985,1985-01-04,59,29,11,1985,1
12/07/1984,1984-12-10,59,31,9,1984,12
11/30/1984,1984-12-03,61,30,7,1984,12
11/09/1984,1984-11-12,61,30,8,1984,11
10/26/1984,1984-10-29,58,32,8,1984,10
09/28/1984,1984-10-01,53,35,10,1984,10
09/21/1984,1984-09-24,56,36,6,1984,9
09/07/1984,1984-09-09,56,35,7,1984,9
08/10/1984,1984-08-12,53,38,8,1984,8
07/27/1984,1984-07-30,51,36,11,1984,7
07/13/1984,1984-07-16,55,34,9,1984,7
07/12/1984,1984-07-13,51,38,10,1984,7
07/06/1984,1984-07-09,53,35,10,1984,7
06/29/1984,1984-07-02,53,36,10,1984,7
06/22/1984,1984-06-22,54,36,9,1984,6
06/01/1984,1984-06-03,52,36,11,1984,6
05/18/1984,1984-05-21,53,38,8,1984,5
05/09/1984,1984-05-10,49,38,11,1984,5
04/25/1984,1984-04-26,48,38,13,1984,4
04/06/1984,1984-04-09,54,36,9,1984,4
03/16/1984,1984-03-19,53,38,7,1984,3
03/01/1984,1984-03-02,52,35,12,1984,3
02/10/1984,1984-02-13,55,35,8,1984,2
01/30/1984,1984-02-06,52,37,9,1984,2
01/27/1984,1984-01-30,55,36,8,1984,1
01/13/1984,1984-01-16,52,37,9,1984,1
12/09/1983,1983-12-12,53,37,8,1983,12
11/18/1983,1983-11-21,52,37,10,1983,11
10/07/1983,1983-10-14,45,43,10,1983,10
09/13/1983,1983-09-13,47,42,10,1983,9
09/09/1983,1983-09-12,47,41,10,1983,9
08/19/1983,1983-08-22,42,46,11,1983,8
08/12/1983,1983-08-15,43,44,11,1983,8
08/05/1983,1983-08-08,43,46,9,1983,8
07/29/1983,1983-08-02,44,42,13,1983,8
07/22/1983,1983-07-25,42,46,10,1983,7
06/24/1983,1983-06-27,46,43,9,1983,6
06/10/1983,1983-06-13,43,45,11,1983,6
05/20/1983,1983-05-23,45,42,11,1983,5
05/13/1983,1983-05-16,43,45,11,1983,5
04/29/1983,1983-05-02,42,46,10,1983,5
04/15/1983,1983-04-18,40,49,10,1983,4
03/11/1983,1983-03-14,40,49,10,1983,3
01/28/1983,1983-01-31,35,56,8,1983,1
01/21/1983,1983-01-24,37,52,9,1983,1
01/11/1983,1983-01-11,36,54,9,1983,1
12/10/1982,1982-12-13,41,50,8,1982,12
11/19/1982,1982-11-22,43,46,9,1982,11
11/05/1982,1982-11-08,42,47,10,1982,11
10/15/1982,1982-10-18,41,47,10,1982,10
09/17/1982,1982-09-20,42,47,9,1982,9
08/24/1982,1982-08-24,41,45,12,1982,8
08/13/1982,1982-08-16,40,48,10,1982,8
07/30/1982,1982-08-02,40,46,12,1982,8
07/23/1982,1982-07-26,42,46,11,1982,7
06/25/1982,1982-06-28,44,45,10,1982,6
06/11/1982,1982-06-14,44,45,9,1982,6
05/14/1982,1982-05-17,44,44,10,1982,5
04/30/1982,1982-05-03,44,45,9,1982,5
04/23/1982,1982-04-26,43,47,9,1982,4
04/02/1982,1982-04-05,45,46,8,1982,4
03/12/1982,1982-03-15,46,44,9,1982,3
02/05/1982,1982-02-08,46,43,10,1982,2
01/22/1982,1982-01-25,47,41,11,1982,1
01/05/1982,1982-01-05,49,39,11,1982,1
12/11/1981,1981-12-14,48,41,10,1981,12
11/20/1981,1981-11-23,54,36,8,1981,11
11/13/1981,1981-11-16,48,40,10,1981,11
10/30/1981,1981-11-03,54,34,11,1981,11
09/18/1981,1981-09-21,51,37,10,1981,9
08/14/1981,1981-08-17,59,29,10,1981,8
07/31/1981,1981-08-03,59,28,12,1981,8
07/24/1981,1981-07-27,55,30,13,1981,7
07/17/1981,1981-07-20,59,29,10,1981,7
06/26/1981,1981-06-29,57,30,12,1981,6
06/16/1981,1981-06-16,58,28,12,1981,6
06/05/1981,1981-06-08,58,28,12,1981,6
05/08/1981,1981-05-11,68,21,11,1981,5
04/10/1981,1981-04-13,66,19,13,1981,4
03/31/1981,1981-03-31,66,18,15,1981,3
02/13/1981,1981-02-16,55,17,26,1981,2
01/30/1981,1981-02-02,51,13,36,1981,2
