Start Date,End Date,Approving,Disapproving,Unsure/NoData,Year,Month
2001-01-10,2001-01-14,66,29,5,2001,1
2001-01-05,2001-01-07,63,31,4,2001,1
2000-12-15,2000-12-17,71,26,1,2000,12
2000-12-02,2000-12-04,59,35,5,2000,12
2000-11-13,2000-11-15,63,32,4,2000,11
2000-10-25,2000-10-26,56,38,5,2000,10
2000-10-06,2000-10-09,58,36,4,2000,10
2000-09-11,2000-09-13,60,34,5,2000,9
2000-08-29,2000-09-03,62,35,2,2000,9
2000-08-18,2000-08-19,61,35,3,2000,8
2000-08-11,2000-08-12,57,38,3,2000,8
2000-08-04,2000-08-05,63,32,4,2000,8
2000-07-25,2000-07-26,56,39,4,2000,7
2000-07-14,2000-07-16,59,36,3,2000,7
2000-07-06,2000-07-09,59,35,5,2000,7
2000-06-22,2000-06-25,54,39,5,2000,6
2000-06-06,2000-06-07,59,36,3,2000,6
2000-05-18,2000-05-21,57,36,5,2000,5
2000-05-04,2000-05-07,57,36,6,2000,5
2000-04-28,2000-04-30,58,39,2,2000,4
2000-03-30,2000-04-02,62,33,3,2000,4
2000-03-17,2000-03-19,55,39,5,2000,3
2000-03-10,2000-03-12,63,34,3,2000,3
2000-02-25,2000-02-27,56,39,3,2000,2
2000-02-14,2000-02-15,61,34,4,2000,2
2000-02-04,2000-02-05,62,33,3,2000,2
2000-01-25,2000-01-26,64,31,3,2000,1
2000-01-17,2000-01-19,61,35,3,2000,1
2000-01-13,2000-01-16,59,36,4,2000,1
2000-01-07,2000-01-10,63,34,2,2000,1
1999-12-20,1999-12-21,57,35,6,1999,12
1999-12-09,1999-12-12,56,41,2,1999,12
1999-11-18,1999-11-21,59,36,5,1999,11
1999-11-04,1999-11-07,58,38,4,1999,11
1999-10-21,1999-10-24,59,35,4,1999,10
1999-10-08,1999-10-10,56,38,4,1999,10
1999-09-23,1999-09-26,59,37,2,1999,9
1999-09-10,1999-09-14,60,38,1,1999,9
1999-08-24,1999-08-26,59,35,5,1999,8
1999-08-16,1999-08-18,59,35,4,1999,8
1999-08-03,1999-08-04,60,35,4,1999,8
1999-07-23,1999-07-25,64,30,4,1999,7
1999-07-16,1999-07-18,57,38,3,1999,7
1999-07-13,1999-07-14,58,36,4,1999,7
1999-06-25,1999-06-27,57,40,1,1999,6
1999-06-11,1999-06-13,61,34,3,1999,6
1999-06-04,1999-06-05,59,35,4,1999,6
1999-05-21,1999-05-23,56,39,4,1999,5
1999-05-07,1999-05-09,60,35,5,1999,5
1999-04-30,1999-05-02,60,36,3,1999,5
1999-04-26,1999-04-27,59,35,4,1999,4
1999-04-13,1999-04-14,59,35,4,1999,4
1999-04-06,1999-04-07,58,35,6,1999,4
1999-03-30,1999-03-31,64,31,4,1999,3
1999-03-19,1999-03-21,64,33,3,1999,3
1999-03-12,1999-03-14,61,34,3,1999,3
1999-03-05,1999-03-07,67,28,3,1999,3
1999-02-26,1999-02-28,65,30,3,1999,2
1999-02-19,1999-02-21,66,29,4,1999,2
1999-02-12,1999-02-13,66,31,2,1999,2
1999-02-09,1999-02-09,69,27,2,1999,2
1999-02-08,1999-02-09,62,34,3,1999,2
1999-02-04,1999-02-08,65,33,2,1999,2
1999-02-02,1999-02-07,59,37,3,1999,2
1999-01-27,1999-01-27,67,31,2,1999,1
1999-01-22,1999-01-24,69,29,2,1999,1
1999-01-15,1999-01-17,69,29,2,1999,1
1999-01-08,1999-01-10,67,30,3,1999,1
1999-01-06,1999-01-06,63,34,3,1999,1
1998-12-12,1998-12-13,63,34,2,1998,12
1998-12-04,1998-12-06,65,29,4,1998,12
1998-11-20,1998-11-22,65,30,4,1998,11
1998-11-13,1998-11-15,65,31,3,1998,11
1998-10-29,1998-11-01,65,30,3,1998,11
1998-10-23,1998-10-25,65,31,2,1998,10
1998-10-09,1998-10-12,65,31,3,1998,10
1998-10-06,1998-10-07,63,33,3,1998,10
1998-09-23,1998-09-24,65,30,3,1998,9
1998-09-21,1998-09-21,65,31,3,1998,9
1998-09-20,1998-09-20,59,34,5,1998,9
1998-09-14,1998-09-15,63,34,2,1998,9
1998-09-11,1998-09-12,63,34,2,1998,9
1998-09-10,1998-09-10,59,36,3,1998,9
1998-09-01,1998-09-01,62,32,4,1998,9
1998-08-21,1998-08-23,61,34,3,1998,8
1998-08-20,1998-08-20,60,34,5,1998,8
1998-08-18,1998-08-18,65,29,5,1998,8
1998-08-17,1998-08-17,61,32,5,1998,8
1998-08-10,1998-08-12,64,29,5,1998,8
1998-08-07,1998-08-08,63,31,4,1998,8
1998-07-29,1998-07-29,64,31,3,1998,7
1998-07-13,1998-07-14,63,31,6,1998,7
1998-07-07,1998-07-08,61,33,5,1998,7
1998-06-22,1998-06-23,60,33,6,1998,6
1998-06-05,1998-06-07,60,33,5,1998,6
1998-05-08,1998-05-10,64,30,4,1998,5
1998-04-17,1998-04-19,63,30,5,1998,4
1998-04-01,1998-04-01,67,28,4,1998,4
1998-03-20,1998-03-22,65,28,5,1998,3
1998-03-16,1998-03-16,66,29,4,1998,3
1998-03-06,1998-03-09,63,31,6,1998,3
1998-02-20,1998-02-22,65,29,5,1998,2
1998-02-13,1998-02-15,66,29,3,1998,2
1998-01-30,1998-02-01,68,28,3,1998,2
1998-01-28,1998-01-28,66,27,5,1998,1
1998-01-25,1998-01-26,59,37,4,1998,1
1998-01-24,1998-01-25,60,35,5,1998,1
1998-01-16,1998-01-18,59,30,10,1998,1
1998-01-06,1998-01-07,59,31,9,1998,1
1997-12-18,1997-12-21,55,36,7,1997,12
1997-11-21,1997-11-23,60,30,9,1997,11
1997-11-06,1997-11-09,58,31,9,1997,11
1997-10-27,1997-10-29,58,32,9,1997,10
1997-10-03,1997-10-05,55,35,8,1997,10
1997-09-25,1997-09-28,57,32,9,1997,9
1997-09-06,1997-09-07,60,27,11,1997,9
1997-08-22,1997-08-25,60,33,6,1997,8
1997-08-12,1997-08-13,60,32,7,1997,8
