Start Date,End Date,Approving,Disapproving,Unsure/NoData,Year,Month
01/17/2017,2017-01-19,59,37,4,2017,1
01/15/2017,2017-01-18,58,38,4,2017,1
01/14/2017,2017-01-17,57,39,4,2017,1
01/13/2017,2017-01-15,57,38,5,2017,1
01/12/2017,2017-01-14,57,39,4,2017,1
01/11/2017,2017-01-13,58,37,5,2017,1
01/10/2017,2017-01-12,57,40,3,2017,1
01/09/2017,2017-01-11,57,40,3,2017,1
01/08/2017,2017-01-10,55,42,3,2017,1
01/07/2017,2017-01-09,56,40,0,2017,1
01/06/2017,2017-01-08,56,41,3,2017,1
01/05/2017,2017-01-07,56,40,4,2017,1
01/04/2017,2017-01-06,56,41,3,2017,1
01/03/2017,2017-01-05,56,42,2,2017,1
01/02/2017,2017-01-04,54,43,3,2017,1
12/30/2016,2017-01-03,53,43,4,2017,1
12/29/2016,2017-01-02,54,42,4,2017,1
12/28/2016,2016-12-30,55,40,5,2016,12
12/27/2016,2016-12-29,56,41,3,2016,12
12/26/2016,2016-12-28,55,40,5,2016,12
12/23/2016,2016-12-27,56,40,4,2016,12
12/22/2016,2016-12-26,56,40,4,2016,12
12/21/2016,2016-12-23,56,41,3,2016,12
12/20/2016,2016-12-22,56,40,4,2016,12
12/19/2016,2016-12-21,56,40,4,2016,12
12/18/2016,2016-12-20,57,39,4,2016,12
12/17/2016,2016-12-19,57,39,4,2016,12
12/16/2016,2016-12-18,57,38,5,2016,12
12/15/2016,2016-12-17,56,40,4,2016,12
12/14/2016,2016-12-16,56,40,4,2016,12
12/13/2016,2016-12-15,56,41,3,2016,12
12/12/2016,2016-12-14,56,41,3,2016,12
12/11/2016,2016-12-13,57,40,3,2016,12
12/10/2016,2016-12-12,56,41,3,2016,12
12/09/2016,2016-12-11,59,39,2,2016,12
12/08/2016,2016-12-10,58,40,2,2016,12
12/06/2016,2016-12-09,59,39,2,2016,12
12/05/2016,2016-12-08,56,41,3,2016,12
12/04/2016,2016-12-06,55,41,4,2016,12
12/03/2016,2016-12-05,54,42,4,2016,12
12/02/2016,2016-12-04,54,42,4,2016,12
12/01/2016,2016-12-03,53,44,3,2016,12
11/29/2016,2016-12-02,53,45,2,2016,12
11/28/2016,2016-12-01,54,43,3,2016,12
11/27/2016,2016-11-29,57,40,3,2016,11
11/26/2016,2016-11-28,57,39,4,2016,11
11/25/2016,2016-11-27,57,39,4,2016,11
11/23/2016,2016-11-26,56,40,4,2016,11
11/22/2016,2016-11-25,56,40,4,2016,11
11/21/2016,2016-11-23,55,42,3,2016,11
11/20/2016,2016-11-22,55,42,3,2016,11
11/19/2016,2016-11-21,56,42,2,2016,11
11/18/2016,2016-11-20,57,40,3,2016,11
11/17/2016,2016-11-19,56,41,3,2016,11
11/16/2016,2016-11-18,58,40,2,2016,11
11/15/2016,2016-11-17,56,42,2,2016,11
11/14/2016,2016-11-16,56,41,3,2016,11
11/13/2016,2016-11-15,56,40,4,2016,11
11/12/2016,2016-11-14,57,40,3,2016,11
11/11/2016,2016-11-13,57,40,3,2016,11
11/10/2016,2016-11-12,57,41,2,2016,11
11/09/2016,2016-11-11,57,40,3,2016,11
11/08/2016,2016-11-10,58,40,2,2016,11
11/07/2016,2016-11-09,56,42,2,2016,11
11/06/2016,2016-11-08,56,42,2,2016,11
11/05/2016,2016-11-07,56,42,8,2016,11
11/04/2016,2016-11-06,56,41,3,2016,11
11/03/2016,2016-11-05,53,44,3,2016,11
11/02/2016,2016-11-04,51,46,3,2016,11
10/31/2016,2016-11-03,49,48,3,2016,11
10/30/2016,2016-11-02,51,47,4,2016,11
10/29/2016,2016-10-31,53,45,2,2016,10
10/28/2016,2016-10-30,54,44,2,2016,10
10/27/2016,2016-10-29,55,43,2,2016,10
10/26/2016,2016-10-28,53,44,3,2016,10
10/25/2016,2016-10-27,54,43,3,2016,10
10/24/2016,2016-10-26,53,44,3,2016,10
10/23/2016,2016-10-25,52,44,4,2016,10
10/22/2016,2016-10-24,52,46,2,2016,10
10/21/2016,2016-10-23,54,43,3,2016,10
10/20/2016,2016-10-22,56,41,3,2016,10
10/19/2016,2016-10-21,57,40,3,2016,10
10/18/2016,2016-10-20,55,42,3,2016,10
10/17/2016,2016-10-19,55,42,3,2016,10
10/16/2016,2016-10-18,53,44,3,2016,10
10/15/2016,2016-10-17,54,43,3,2016,10
10/14/2016,2016-10-16,54,43,3,2016,10
10/13/2016,2016-10-15,55,41,4,2016,10
10/12/2016,2016-10-14,54,42,4,2016,10
10/11/2016,2016-10-13,53,43,4,2016,10
10/10/2016,2016-10-12,53,42,5,2016,10
10/09/2016,2016-10-11,54,42,4,2016,10
10/08/2016,2016-10-10,55,42,3,2016,10
10/07/2016,2016-10-09,53,44,3,2016,10
10/06/2016,2016-10-08,52,46,2,2016,10
10/04/2016,2016-10-07,51,46,3,2016,10
10/03/2016,2016-10-06,51,45,4,2016,10
10/02/2016,2016-10-04,54,43,3,2016,10
10/01/2016,2016-10-03,54,43,3,2016,10
09/30/2016,2016-10-02,54,43,3,2016,10
09/29/2016,2016-10-01,52,45,3,2016,10
09/28/2016,2016-09-30,53,44,3,2016,9
09/27/2016,2016-09-29,52,44,4,2016,9
09/26/2016,2016-09-28,51,45,4,2016,9
09/25/2016,2016-09-27,50,45,5,2016,9
09/24/2016,2016-09-26,51,44,5,2016,9
09/23/2016,2016-09-25,54,41,5,2016,9
09/22/2016,2016-09-24,54,41,5,2016,9
09/21/2016,2016-09-23,53,42,5,2016,9
09/20/2016,2016-09-22,52,44,4,2016,9
09/19/2016,2016-09-21,52,45,3,2016,9
09/18/2016,2016-09-20,53,44,3,2016,9
09/17/2016,2016-09-19,51,45,4,2016,9
09/16/2016,2016-09-18,51,45,4,2016,9
09/15/2016,2016-09-17,52,44,4,2016,9
09/14/2016,2016-09-16,53,45,2,2016,9
09/13/2016,2016-09-15,54,43,3,2016,9
09/12/2016,2016-09-14,52,45,3,2016,9
09/11/2016,2016-09-13,53,44,3,2016,9
09/10/2016,2016-09-12,50,46,4,2016,9
09/09/2016,2016-09-11,51,45,4,2016,9
09/08/2016,2016-09-10,50,45,5,2016,9
09/06/2016,2016-09-09,50,46,4,2016,9
09/05/2016,2016-09-08,50,46,4,2016,9
09/04/2016,2016-09-06,51,45,4,2016,9
09/03/2016,2016-09-05,52,44,4,2016,9
09/02/2016,2016-09-04,52,44,4,2016,9
09/01/2016,2016-09-03,52,44,4,2016,9
08/31/2016,2016-09-02,51,45,4,2016,9
08/30/2016,2016-09-01,52,44,4,2016,9
08/29/2016,2016-08-31,52,44,4,2016,8
08/28/2016,2016-08-30,52,43,5,2016,8
08/27/2016,2016-08-29,51,44,5,2016,8
08/26/2016,2016-08-28,51,44,0,2016,8
08/25/2016,2016-08-27,52,44,4,2016,8
08/24/2016,2016-08-26,51,43,6,2016,8
08/23/2016,2016-08-25,51,44,5,2016,8
08/22/2016,2016-08-24,48,46,6,2016,8
08/21/2016,2016-08-23,51,44,5,2016,8
08/20/2016,2016-08-22,50,45,5,2016,8
08/19/2016,2016-08-21,52,44,4,2016,8
08/18/2016,2016-08-20,51,46,3,2016,8
08/16/2016,2016-08-19,52,45,3,2016,8
08/15/2016,2016-08-18,51,45,4,2016,8
08/14/2016,2016-08-16,52,45,3,2016,8
08/13/2016,2016-08-15,51,45,4,2016,8
08/12/2016,2016-08-14,53,44,3,2016,8
08/11/2016,2016-08-13,54,43,3,2016,8
08/10/2016,2016-08-12,53,43,4,2016,8
08/09/2016,2016-08-11,53,42,5,2016,8
08/08/2016,2016-08-10,49,46,5,2016,8
08/07/2016,2016-08-09,50,45,5,2016,8
08/06/2016,2016-08-08,52,45,3,2016,8
08/05/2016,2016-08-07,53,44,3,2016,8
08/04/2016,2016-08-06,52,45,3,2016,8
08/03/2016,2016-08-05,49,46,5,2016,8
08/02/2016,2016-08-04,50,45,5,2016,8
08/01/2016,2016-08-03,51,44,5,2016,8
07/31/2016,2016-08-02,52,44,4,2016,8
07/30/2016,2016-08-01,53,44,3,2016,8
07/29/2016,2016-07-31,54,43,3,2016,7
07/28/2016,2016-07-30,54,42,4,2016,7
07/27/2016,2016-07-29,53,43,4,2016,7
07/26/2016,2016-07-28,52,44,4,2016,7
07/25/2016,2016-07-27,51,46,3,2016,7
07/24/2016,2016-07-26,51,45,4,2016,7
07/23/2016,2016-07-25,50,46,4,2016,7
07/22/2016,2016-07-24,49,48,3,2016,7
07/20/2016,2016-07-23,49,47,4,2016,7
07/19/2016,2016-07-22,49,47,4,2016,7
07/18/2016,2016-07-20,49,47,4,2016,7
07/17/2016,2016-07-19,49,47,4,2016,7
07/16/2016,2016-07-18,49,46,5,2016,7
07/15/2016,2016-07-17,51,44,5,2016,7
07/14/2016,2016-07-16,49,46,5,2016,7
07/12/2016,2016-07-15,49,47,4,2016,7
07/11/2016,2016-07-14,47,48,5,2016,7
07/10/2016,2016-07-12,48,48,4,2016,7
07/09/2016,2016-07-11,49,47,4,2016,7
07/08/2016,2016-07-10,51,46,3,2016,7
07/07/2016,2016-07-09,51,45,4,2016,7
07/06/2016,2016-07-08,51,45,4,2016,7
07/05/2016,2016-07-07,51,45,4,2016,7
07/03/2016,2016-07-06,50,45,5,2016,7
07/02/2016,2016-07-05,50,45,5,2016,7
07/01/2016,2016-07-03,51,44,5,2016,7
06/30/2016,2016-07-02,51,45,4,2016,7
06/29/2016,2016-07-01,51,45,4,2016,7
06/28/2016,2016-06-30,51,45,4,2016,6
06/27/2016,2016-06-29,52,44,4,2016,6
06/26/2016,2016-06-28,51,44,5,2016,6
06/25/2016,2016-06-27,51,44,5,2016,6
06/24/2016,2016-06-26,50,45,5,2016,6
06/23/2016,2016-06-25,50,45,5,2016,6
06/22/2016,2016-06-24,50,46,4,2016,6
06/21/2016,2016-06-23,50,45,5,2016,6
06/20/2016,2016-06-22,49,46,5,2016,6
06/19/2016,2016-06-21,49,45,6,2016,6
06/18/2016,2016-06-20,50,45,5,2016,6
06/17/2016,2016-06-19,52,44,4,2016,6
06/16/2016,2016-06-18,53,44,3,2016,6
06/15/2016,2016-06-17,53,43,4,2016,6
06/14/2016,2016-06-16,53,45,2,2016,6
06/13/2016,2016-06-15,53,44,3,2016,6
06/12/2016,2016-06-14,53,44,3,2016,6
06/11/2016,2016-06-13,53,44,3,2016,6
06/10/2016,2016-06-12,52,44,4,2016,6
06/09/2016,2016-06-11,52,44,4,2016,6
06/08/2016,2016-06-10,54,42,4,2016,6
06/07/2016,2016-06-09,52,43,5,2016,6
06/06/2016,2016-06-08,53,43,4,2016,6
06/05/2016,2016-06-07,50,46,4,2016,6
06/04/2016,2016-06-06,51,44,5,2016,6
06/03/2016,2016-06-05,50,44,6,2016,6
06/02/2016,2016-06-04,51,44,5,2016,6
06/01/2016,2016-06-03,53,43,4,2016,6
05/31/2016,2016-06-02,51,45,4,2016,6
05/30/2016,2016-06-01,52,44,4,2016,6
05/29/2016,2016-05-31,51,45,4,2016,5
05/28/2016,2016-05-30,52,44,4,2016,5
05/27/2016,2016-05-29,53,44,3,2016,5
05/26/2016,2016-05-28,52,44,4,2016,5
05/25/2016,2016-05-27,50,46,4,2016,5
05/24/2016,2016-05-26,50,45,5,2016,5
05/23/2016,2016-05-25,52,44,4,2016,5
05/22/2016,2016-05-24,53,43,4,2016,5
05/21/2016,2016-05-23,52,44,4,2016,5
05/20/2016,2016-05-22,50,45,5,2016,5
05/19/2016,2016-05-21,52,43,5,2016,5
05/18/2016,2016-05-20,52,44,4,2016,5
05/17/2016,2016-05-19,51,45,4,2016,5
05/16/2016,2016-05-18,49,46,5,2016,5
05/15/2016,2016-05-17,50,45,5,2016,5
05/14/2016,2016-05-16,50,44,6,2016,5
05/13/2016,2016-05-15,51,44,5,2016,5
05/12/2016,2016-05-14,50,46,4,2016,5
05/11/2016,2016-05-13,50,46,4,2016,5
05/10/2016,2016-05-12,50,47,3,2016,5
05/09/2016,2016-05-11,52,44,4,2016,5
05/08/2016,2016-05-10,52,44,4,2016,5
05/07/2016,2016-05-09,53,43,4,2016,5
05/06/2016,2016-05-08,53,43,4,2016,5
05/05/2016,2016-05-07,53,43,4,2016,5
05/04/2016,2016-05-06,52,45,3,2016,5
05/03/2016,2016-05-05,51,45,4,2016,5
05/02/2016,2016-05-04,50,46,4,2016,5
05/01/2016,2016-05-03,51,45,4,2016,5
04/30/2016,2016-05-02,52,45,3,2016,5
04/29/2016,2016-05-01,52,45,3,2016,5
04/28/2016,2016-04-30,52,45,3,2016,4
04/27/2016,2016-04-29,50,46,4,2016,4
04/26/2016,2016-04-28,50,46,4,2016,4
04/25/2016,2016-04-27,49,46,5,2016,4
04/24/2016,2016-04-26,50,45,5,2016,4
04/23/2016,2016-04-25,50,46,4,2016,4
04/22/2016,2016-04-24,52,45,3,2016,4
04/21/2016,2016-04-23,50,46,4,2016,4
04/20/2016,2016-04-22,50,46,4,2016,4
04/19/2016,2016-04-21,51,44,5,2016,4
04/18/2016,2016-04-20,52,44,4,2016,4
04/17/2016,2016-04-19,51,46,3,2016,4
04/16/2016,2016-04-18,49,48,3,2016,4
04/15/2016,2016-04-17,49,47,4,2016,4
04/14/2016,2016-04-16,50,46,4,2016,4
04/13/2016,2016-04-15,49,47,4,2016,4
04/12/2016,2016-04-14,48,47,5,2016,4
04/11/2016,2016-04-13,48,48,4,2016,4
04/10/2016,2016-04-12,47,48,5,2016,4
04/09/2016,2016-04-11,48,48,4,2016,4
04/08/2016,2016-04-10,49,46,5,2016,4
04/07/2016,2016-04-09,51,45,4,2016,4
04/06/2016,2016-04-08,52,44,4,2016,4
04/05/2016,2016-04-07,52,44,4,2016,4
04/04/2016,2016-04-06,52,44,4,2016,4
04/03/2016,2016-04-05,51,44,5,2016,4
04/02/2016,2016-04-04,53,43,4,2016,4
04/01/2016,2016-04-03,52,43,5,2016,4
03/31/2016,2016-04-02,52,45,3,2016,4
03/30/2016,2016-04-01,50,46,4,2016,4
03/29/2016,2016-03-31,49,47,4,2016,3
03/28/2016,2016-03-30,49,47,4,2016,3
03/26/2016,2016-03-29,51,46,3,2016,3
03/25/2016,2016-03-28,53,44,3,2016,3
03/24/2016,2016-03-26,53,44,3,2016,3
03/23/2016,2016-03-25,53,44,3,2016,3
03/22/2016,2016-03-24,52,45,3,2016,3
03/21/2016,2016-03-23,52,45,3,2016,3
03/20/2016,2016-03-22,51,46,3,2016,3
03/19/2016,2016-03-21,51,45,4,2016,3
03/18/2016,2016-03-20,50,45,5,2016,3
03/17/2016,2016-03-19,52,44,4,2016,3
03/16/2016,2016-03-18,49,46,5,2016,3
03/15/2016,2016-03-17,49,47,4,2016,3
03/14/2016,2016-03-16,50,47,3,2016,3
03/13/2016,2016-03-15,52,45,3,2016,3
03/12/2016,2016-03-14,51,46,3,2016,3
03/11/2016,2016-03-13,51,46,3,2016,3
03/10/2016,2016-03-12,49,47,4,2016,3
03/09/2016,2016-03-11,51,44,5,2016,3
03/08/2016,2016-03-10,52,45,3,2016,3
03/07/2016,2016-03-09,52,44,4,2016,3
03/06/2016,2016-03-08,51,45,4,2016,3
03/05/2016,2016-03-07,50,47,3,2016,3
03/04/2016,2016-03-06,49,48,3,2016,3
03/03/2016,2016-03-05,51,46,3,2016,3
03/02/2016,2016-03-04,51,45,4,2016,3
03/01/2016,2016-03-03,51,44,5,2016,3
02/29/2016,2016-03-02,49,46,5,2016,3
02/28/2016,2016-03-01,49,46,5,2016,3
02/27/2016,2016-02-29,49,46,5,2016,2
02/26/2016,2016-02-28,49,46,5,2016,2
02/25/2016,2016-02-27,48,47,5,2016,2
02/24/2016,2016-02-26,47,48,5,2016,2
02/23/2016,2016-02-25,47,48,5,2016,2
02/22/2016,2016-02-24,48,48,4,2016,2
02/21/2016,2016-02-23,48,48,4,2016,2
02/20/2016,2016-02-22,47,49,4,2016,2
02/19/2016,2016-02-21,47,49,4,2016,2
02/18/2016,2016-02-20,48,48,4,2016,2
02/17/2016,2016-02-19,50,46,4,2016,2
02/16/2016,2016-02-18,50,46,4,2016,2
02/15/2016,2016-02-17,49,48,3,2016,2
02/14/2016,2016-02-16,47,50,3,2016,2
02/13/2016,2016-02-15,47,50,3,2016,2
02/12/2016,2016-02-14,47,49,4,2016,2
02/11/2016,2016-02-13,49,48,3,2016,2
02/10/2016,2016-02-12,49,47,4,2016,2
02/09/2016,2016-02-11,49,47,4,2016,2
02/08/2016,2016-02-10,48,48,4,2016,2
02/07/2016,2016-02-09,47,50,3,2016,2
02/06/2016,2016-02-08,46,51,3,2016,2
02/05/2016,2016-02-07,47,50,3,2016,2
02/04/2016,2016-02-06,46,50,4,2016,2
02/03/2016,2016-02-05,46,50,4,2016,2
02/01/2016,2016-02-04,47,49,4,2016,2
01/31/2016,2016-02-03,48,48,4,2016,2
01/30/2016,2016-02-01,50,46,4,2016,2
01/29/2016,2016-01-31,49,47,4,2016,1
01/28/2016,2016-01-30,49,48,3,2016,1
01/27/2016,2016-01-29,48,48,4,2016,1
01/26/2016,2016-01-28,48,48,4,2016,1
01/25/2016,2016-01-27,48,48,4,2016,1
01/24/2016,2016-01-26,48,48,4,2016,1
01/23/2016,2016-01-25,49,47,4,2016,1
01/22/2016,2016-01-24,48,46,6,2016,1
01/21/2016,2016-01-23,49,47,4,2016,1
01/20/2016,2016-01-22,49,47,4,2016,1
01/19/2016,2016-01-21,49,48,3,2016,1
01/18/2016,2016-01-20,47,48,5,2016,1
01/17/2016,2016-01-19,48,48,4,2016,1
01/16/2016,2016-01-18,49,46,5,2016,1
01/15/2016,2016-01-17,51,45,4,2016,1
01/14/2016,2016-01-16,49,47,4,2016,1
01/13/2016,2016-01-15,49,46,5,2016,1
01/12/2016,2016-01-14,48,47,5,2016,1
01/11/2016,2016-01-13,47,48,5,2016,1
01/10/2016,2016-01-12,44,50,6,2016,1
01/09/2016,2016-01-11,45,50,5,2016,1
01/08/2016,2016-01-10,47,49,4,2016,1
01/07/2016,2016-01-09,47,49,4,2016,1
01/06/2016,2016-01-08,46,49,5,2016,1
01/05/2016,2016-01-07,45,50,5,2016,1
01/04/2016,2016-01-06,47,48,5,2016,1
01/03/2016,2016-01-05,46,50,4,2016,1
01/02/2016,2016-01-04,46,50,4,2016,1
12/30/2015,2016-01-03,45,51,4,2016,1
12/29/2015,2016-01-02,45,51,4,2016,1
12/28/2015,2015-12-30,44,52,4,2015,12
12/27/2015,2015-12-29,46,50,4,2015,12
12/23/2015,2015-12-28,47,49,4,2015,12
12/22/2015,2015-12-27,48,48,4,2015,12
12/21/2015,2015-12-23,46,50,4,2015,12
12/20/2015,2015-12-22,46,50,4,2015,12
12/19/2015,2015-12-21,46,50,4,2015,12
12/18/2015,2015-12-20,45,50,5,2015,12
12/17/2015,2015-12-19,44,51,5,2015,12
12/16/2015,2015-12-18,42,53,5,2015,12
12/15/2015,2015-12-17,43,53,4,2015,12
12/14/2015,2015-12-16,45,51,4,2015,12
12/13/2015,2015-12-15,46,50,4,2015,12
12/12/2015,2015-12-14,46,50,4,2015,12
12/11/2015,2015-12-13,46,50,4,2015,12
12/10/2015,2015-12-12,45,50,5,2015,12
12/09/2015,2015-12-11,44,51,5,2015,12
12/08/2015,2015-12-10,44,51,5,2015,12
12/07/2015,2015-12-09,45,50,5,2015,12
12/06/2015,2015-12-08,47,49,4,2015,12
12/05/2015,2015-12-07,47,49,4,2015,12
12/04/2015,2015-12-06,49,48,3,2015,12
12/03/2015,2015-12-05,47,48,5,2015,12
12/02/2015,2015-12-04,48,47,5,2015,12
12/01/2015,2015-12-03,47,48,5,2015,12
11/30/2015,2015-12-02,47,50,3,2015,12
11/29/2015,2015-12-01,46,50,4,2015,12
11/28/2015,2015-11-30,46,50,4,2015,11
11/27/2015,2015-11-29,47,47,6,2015,11
11/25/2015,2015-11-28,46,48,6,2015,11
11/24/2015,2015-11-27,46,49,5,2015,11
11/23/2015,2015-11-25,44,51,5,2015,11
