,Years,Months,Crime Rate
0,2019,9,3.5
1,2019,8,3.7
2,2019,7,3.7
3,2019,6,3.7
4,2019,5,3.6
5,2019,4,3.6
6,2019,3,3.8
7,2019,2,3.8
8,2019,1,4.0
9,2018,12,3.9
10,2018,11,3.7
11,2018,10,3.8
12,2018,9,3.7
13,2018,8,3.8
14,2018,7,3.9
15,2018,6,4.0
16,2018,5,3.8
17,2018,4,3.9
18,2018,3,4.0
19,2018,2,4.1
20,2018,1,4.1
21,2017,12,4.1
22,2017,11,4.2
23,2017,10,4.1
24,2017,9,4.2
25,2017,8,4.4
26,2017,7,4.3
27,2017,6,4.3
28,2017,5,4.4
29,2017,4,4.4
30,2017,3,4.4
31,2017,2,4.7
32,2017,1,4.7
33,2016,12,4.7
34,2016,11,4.7
35,2016,10,4.9
36,2016,9,5.0
37,2016,8,4.9
38,2016,7,4.8
39,2016,6,4.9
40,2016,5,4.8
41,2016,4,5.0
42,2016,3,5.0
43,2016,2,4.9
44,2016,1,4.9
45,2015,12,5.0
46,2015,11,5.1
47,2015,10,5.0
48,2015,9,5.0
49,2015,8,5.1
50,2015,7,5.2
51,2015,6,5.3
52,2015,5,5.6
53,2015,4,5.4
54,2015,3,5.4
55,2015,2,5.5
56,2015,1,5.7
57,2014,12,5.6
58,2014,11,5.8
59,2014,10,5.7
60,2014,9,5.9
61,2014,8,6.1
62,2014,7,6.2
63,2014,6,6.1
64,2014,5,6.3
65,2014,4,6.2
66,2014,3,6.7
67,2014,2,6.7
68,2014,1,6.6
69,2013,12,6.7
70,2013,11,6.9
71,2013,10,7.2
72,2013,9,7.2
73,2013,8,7.2
74,2013,7,7.3
75,2013,6,7.5
76,2013,5,7.5
77,2013,4,7.6
78,2013,3,7.5
79,2013,2,7.7
80,2013,1,8.0
81,2012,12,7.9
82,2012,11,7.7
83,2012,10,7.8
84,2012,9,7.8
85,2012,8,8.1
86,2012,7,8.2
87,2012,6,8.2
88,2012,5,8.2
89,2012,4,8.2
90,2012,3,8.2
91,2012,2,8.3
92,2012,1,8.3
93,2011,12,8.5
94,2011,11,8.6
95,2011,10,8.8
96,2011,9,9.0
97,2011,8,9.0
98,2011,7,9.0
99,2011,6,9.1
100,2011,5,9.0
101,2011,4,9.1
102,2011,3,9.0
103,2011,2,9.0
104,2011,1,9.1
105,2010,12,9.3
106,2010,11,9.8
107,2010,10,9.4
108,2010,9,9.5
109,2010,8,9.5
110,2010,7,9.4
111,2010,6,9.4
112,2010,5,9.6
113,2010,4,9.9
114,2010,3,9.9
115,2010,2,9.8
116,2010,1,9.8
117,2009,12,9.9
118,2009,11,9.9
119,2009,10,10.0
120,2009,9,9.8
121,2009,8,9.6
122,2009,7,9.5
123,2009,6,9.5
124,2009,5,9.4
125,2009,4,9.0
126,2009,3,8.7
127,2009,2,8.3
128,2009,1,7.8
129,2008,12,7.3
130,2008,11,6.8
131,2008,10,6.5
132,2008,9,6.1
133,2008,8,6.1
134,2008,7,5.8
135,2008,6,5.6
136,2008,5,5.4
137,2008,4,5.0
138,2008,3,5.1
139,2008,2,4.9
140,2008,1,5.0
141,2007,12,5.0
142,2007,11,4.7
143,2007,10,4.7
144,2007,9,4.7
145,2007,8,4.6
146,2007,7,4.7
147,2007,6,4.6
148,2007,5,4.4
149,2007,4,4.5
150,2007,3,4.4
151,2007,2,4.5
152,2007,1,4.6
153,2006,12,4.4
154,2006,11,4.5
155,2006,10,4.4
156,2006,9,4.5
157,2006,8,4.7
158,2006,7,4.7
159,2006,6,4.6
160,2006,5,4.6
161,2006,4,4.7
162,2006,3,4.7
163,2006,2,4.8
164,2006,1,4.7
165,2005,12,4.9
166,2005,11,5.0
167,2005,10,5.0
168,2005,9,5.0
169,2005,8,4.9
170,2005,7,5.0
171,2005,6,5.0
172,2005,5,5.1
173,2005,4,5.2
174,2005,3,5.2
175,2005,2,5.4
176,2005,1,5.3
177,2004,12,5.4
178,2004,11,5.4
179,2004,10,5.5
180,2004,9,5.4
181,2004,8,5.4
182,2004,7,5.5
183,2004,6,5.6
184,2004,5,5.6
185,2004,4,5.6
186,2004,3,5.8
187,2004,2,5.6
188,2004,1,5.7
189,2003,12,5.7
190,2003,11,5.8
191,2003,10,6.0
192,2003,9,6.1
193,2003,8,6.1
194,2003,7,6.2
195,2003,6,6.3
196,2003,5,6.1
197,2003,4,6.0
198,2003,3,5.9
199,2003,2,5.9
200,2003,1,5.8
201,2002,12,6.0
202,2002,11,5.9
203,2002,10,5.7
204,2002,9,5.7
205,2002,8,5.7
206,2002,7,5.8
207,2002,6,5.8
208,2002,5,5.8
209,2002,4,5.9
210,2002,3,5.7
211,2002,2,5.7
212,2002,1,5.7
213,2001,12,5.7
214,2001,11,5.5
215,2001,10,5.3
216,2001,9,5.0
217,2001,8,4.9
218,2001,7,4.6
219,2001,6,4.5
220,2001,5,4.3
221,2001,4,4.4
222,2001,3,4.3
223,2001,2,4.2
224,2001,1,4.2
225,2000,12,3.9
226,2000,11,3.9
227,2000,10,3.9
228,2000,9,3.9
229,2000,8,4.1
230,2000,7,4.0
231,2000,6,4.0
232,2000,5,4.0
233,2000,4,3.8
234,2000,3,4.0
235,2000,2,4.1
236,2000,1,4.0
237,1999,12,4.0
238,1999,11,4.1
239,1999,10,4.1
240,1999,9,4.2
241,1999,8,4.2
242,1999,7,4.3
243,1999,6,4.3
244,1999,5,4.2
245,1999,4,4.3
246,1999,3,4.2
247,1999,2,4.4
248,1999,1,4.3
249,1998,12,4.4
250,1998,11,4.4
251,1998,10,4.5
252,1998,9,4.6
253,1998,8,4.5
254,1998,7,4.5
255,1998,6,4.5
256,1998,5,4.4
257,1998,4,4.3
258,1998,3,4.7
259,1998,2,4.6
260,1998,1,4.6
261,1997,12,4.7
262,1997,11,4.6
263,1997,10,4.7
264,1997,9,4.9
265,1997,8,4.8
266,1997,7,4.9
267,1997,6,5.0
268,1997,5,4.9
269,1997,4,5.1
