Years,Months,Unemployment Rate
2019,9,5.5
2019,8,5.5
2019,7,6.0
2019,6,6.0
2019,5,6.2
2019,4,6.7
2019,3,6.7
2019,2,7.0
2019,1,6.8
2018,12,6.6
2018,11,6.0
2018,10,6.2
2018,9,6.0
2018,8,6.3
2018,7,6.6
2018,6,6.5
2018,5,5.9
2018,4,6.5
2018,3,6.8
2018,2,6.8
2018,1,7.7
2017,12,6.7
2017,11,7.3
2017,10,7.3
2017,9,7.1
2017,8,7.6
2017,7,7.4
2017,6,7.1
2017,5,7.7
2017,4,7.9
2017,3,7.9
2017,2,8.0
2017,1,7.7
2016,12,7.9
2016,11,8.0
2016,10,8.3
2016,9,8.4
2016,8,8.0
2016,7,8.4
2016,6,8.7
2016,5,8.2
2016,4,8.9
2016,3,8.9
2016,2,8.6
2016,1,8.8
2015,12,8.5
2015,11,9.4
2015,10,8.9
2015,9,9.3
2015,8,9.4
2015,7,9.1
2015,6,9.6
2015,5,10.3
2015,4,9.8
2015,3,9.9
2015,2,10.1
2015,1,10.3
2014,12,10.6
2014,11,10.9
2014,10,10.6
2014,9,11.0
2014,8,11.4
2014,7,11.6
2014,6,11.0
2014,5,11.4
2014,4,11.6
2014,3,12.1
2014,2,11.8
2014,1,12.1
2013,12,11.9
2013,11,12.3
2013,10,12.8
2013,9,13.0
2013,8,12.8
2013,7,12.6
2013,6,14.2
2013,5,13.4
2013,4,13.3
2013,3,13.0
2013,2,13.8
2013,1,13.7
2012,12,14.0
2012,11,13.3
2012,10,14.1
2012,9,13.6
2012,8,13.8
2012,7,14.2
2012,6,14.5
2012,5,13.5
2012,4,13.3
2012,3,14.0
2012,2,14.0
2012,1,13.6
2011,12,15.4
2011,11,15.6
2011,10,14.6
2011,9,15.9
2011,8,16.4
2011,7,15.9
2011,6,16.2
2011,5,16.3
2011,4,16.5
2011,3,15.8
2011,2,15.5
2011,1,15.8
2010,12,15.5
2010,11,16.2
2010,10,15.6
2010,9,16.0
2010,8,15.9
2010,7,15.6
2010,6,15.2
2010,5,15.5
2010,4,16.6
2010,3,16.8
2010,2,16.1
2010,1,16.5
2009,12,16.1
2009,11,15.7
2009,10,15.8
2009,9,15.3
2009,8,14.8
2009,7,14.8
2009,6,14.8
2009,5,15.0
2009,4,15.0
2009,3,13.7
2009,2,13.7
2009,1,12.7
2008,12,12.1
2008,11,11.5
2008,10,11.4
2008,9,11.3
2008,8,10.6
2008,7,10.0
2008,6,9.4
2008,5,9.6
2008,4,8.6
2008,3,9.2
2008,2,8.4
2008,1,9.1
2007,12,9.0
2007,11,8.5
2007,10,8.5
2007,9,8.0
2007,8,7.6
2007,7,8.1
2007,6,8.5
2007,5,8.3
2007,4,8.3
2007,3,8.4
2007,2,8.0
2007,1,7.9
2006,12,8.3
2006,11,8.5
2006,10,8.4
2006,9,9.0
2006,8,8.8
2006,7,9.5
2006,6,8.9
2006,5,8.7
2006,4,9.4
2006,3,9.5
2006,2,9.5
2006,1,8.9
2005,12,9.2
2005,11,10.6
2005,10,9.1
2005,9,9.4
2005,8,9.7
2005,7,9.2
2005,6,10.2
2005,5,10.1
2005,4,10.3
2005,3,10.5
2005,2,10.9
2005,1,10.6
2004,12,10.7
2004,11,10.7
2004,10,10.8
2004,9,10.3
2004,8,10.5
2004,7,11.0
2004,6,10.2
2004,5,10.1
2004,4,9.8
2004,3,10.3
2004,2,9.7
2004,1,10.4
2003,12,10.1
2003,11,10.2
2003,10,11.4
2003,9,11.1
2003,8,10.9
2003,7,10.9
2003,6,11.5
2003,5,10.9
2003,4,10.9
2003,3,10.3
2003,2,10.7
2003,1,10.5
2002,12,11.3
2002,11,10.7
2002,10,9.8
2002,9,9.7
2002,8,9.8
2002,7,9.8
2002,6,10.5
2002,5,10.2
2002,4,10.7
2002,3,10.5
2002,2,9.9
2002,1,10.0
2001,12,10.1
2001,11,9.8
2001,10,9.5
2001,9,8.9
2001,8,9.1
2001,7,8.0
2001,6,8.3
2001,5,7.9
2001,4,8.0
2001,3,8.3
2001,2,7.7
2001,1,8.2
2000,12,7.4
2000,11,7.3
2000,10,7.3
2000,9,7.3
2000,8,7.9
2000,7,7.7
2000,6,7.8
2000,5,7.7
2000,4,7.0
2000,3,7.4
2000,2,8.1
2000,1,8.2
1999,12,7.8
1999,11,8.0
1999,10,8.4
1999,9,8.5
1999,8,7.7
1999,7,8.7
1999,6,7.7
1999,5,7.4
1999,4,7.8
1999,3,8.0
1999,2,8.2
1999,1,7.8
1998,12,7.7
1998,11,8.6
1998,10,8.6
1998,9,9.1
1998,8,8.8
1998,7,9.5
1998,6,8.8
1998,5,8.9
1998,4,9.1
1998,3,9.2
1998,2,9.3
1998,1,9.4
1997,12,10.0
1997,11,9.5
1997,10,9.5
1997,9,9.5
1997,8,9.4
1997,7,9.5
1997,6,10.8
1997,5,10.3
1997,4,10.2
1997,3,10.5
1997,2,10.7
1997,1,10.8
1996,12,10.5
1996,11,10.6
1996,10,10.7
1996,9,10.6
1996,8,10.6
1996,7,10.6
1996,6,10.4
1996,5,10.2
1996,4,10.7
1996,3,10.6
1996,2,10.0
1996,1,10.6
1995,12,10.2
1995,11,9.7
1995,10,10.0
1995,9,11.1
1995,8,11.1
1995,7,10.9
1995,6,10.7
1995,5,10.0
1995,4,10.7
1995,3,9.7
1995,2,10.1
1995,1,10.3
1994,12,9.9
1994,11,10.8
1994,10,11.3
1994,9,10.6
1994,8,11.2
1994,7,10.9
1994,6,11.3
1994,5,11.7
1994,4,11.9
1994,3,12.4
1994,2,12.8
1994,1,13.1
1993,12,11.7
1993,11,12.6
1993,10,11.8
1993,9,12.5
1993,8,12.3
1993,7,12.7
1993,6,13.4
1993,5,13.1
1993,4,14.0
1993,3,13.7
1993,2,13.5
1993,1,14.1
1992,12,14.3
1992,11,14.1
1992,10,14.3
1992,9,13.9
1992,8,14.2
1992,7,14.4
1992,6,14.6
1992,5,14.7
1992,4,14.1
1992,3,14.1
1992,2,14.2
1992,1,13.5
1991,12,12.9
1991,11,12.5
1991,10,13.3
1991,9,12.3
1991,8,12.4
1991,7,11.9
1991,6,12.5
1991,5,12.8
1991,4,12.7
1991,3,12.5
1991,2,12.2
1991,1,11.9
1990,12,12.4
1990,11,12.4
1990,10,12.1
1990,9,12.1
1990,8,11.7
1990,7,11.4
1990,6,10.5
1990,5,10.6
1990,4,10.7
1990,3,10.9
1990,2,11.0
1990,1,11.1
1989,12,11.6
1989,11,11.7
1989,10,11.7
1989,9,11.7
1989,8,11.1
1989,7,11.0
1989,6,11.7
1989,5,11.2
1989,4,11.1
1989,3,11.1
1989,2,11.9
1989,1,11.8
1988,12,11.3
1988,11,11.0
1988,10,11.1
1988,9,11.0
1988,8,11.4
1988,7,11.6
1988,6,11.5
1988,5,12.3
1988,4,12.2
1988,3,12.7
1988,2,12.4
1988,1,12.0
1987,12,12.1
1987,11,12.1
1987,10,12.3
1987,9,12.6
1987,8,12.6
1987,7,12.9
1987,6,12.9
1987,5,13.6
1987,4,12.9
1987,3,13.8
1987,2,13.8
1987,1,14.0
1986,12,13.7
1986,11,14.3
1986,10,14.6
1986,9,14.9
1986,8,14.8
1986,7,14.4
1986,6,15.1
1986,5,14.6
1986,4,14.8
1986,3,14.6
1986,2,14.4
1986,1,14.5
1985,12,15.0
1985,11,15.6
1985,10,15.0
1985,9,15.2
1985,8,14.3
1985,7,15.2
1985,6,14.4
1985,5,15.2
1985,4,15.1
1985,3,15.1
1985,2,15.8
1985,1,15.2
1984,12,15.2
1984,11,15.0
1984,10,15.3
1984,9,15.0
1984,8,16.0
1984,7,16.7
1984,6,15.6
1984,5,15.7
1984,4,16.5
1984,3,16.6
1984,2,16.2
1984,1,17.3
1983,12,17.8
1983,11,17.5
1983,10,18.2
1983,9,18.8
1983,8,19.7
1983,7,19.4
1983,6,20.7
1983,5,20.3
1983,4,20.4
1983,3,20.1
1983,2,19.9
1983,1,21.2
1982,12,20.9
1982,11,20.2
1982,10,20.1
1982,9,19.7
1982,8,18.9
1982,7,18.8
1982,6,18.5
1982,5,18.5
1982,4,18.2
1982,3,18.1
1982,2,17.7
1982,1,17.3
1981,12,17.2
1981,11,16.8
1981,10,16.7
1981,9,15.9
1981,8,16.3
1981,7,15.0
1981,6,15.7
1981,5,14.8
1981,4,14.7
1981,3,15.1
1981,2,14.7
1981,1,14.6
1980,12,15.0
1980,11,15.1
1980,10,15.1
1980,9,14.8
1980,8,14.6
1980,7,15.3
1980,6,14.6
1980,5,14.4
1980,4,13.8
1980,3,12.9
1980,2,12.9
1980,1,13.0
1979,12,12.2
1979,11,11.9
1979,10,12.3
1979,9,11.7
1979,8,12.4
1979,7,12.1
1979,6,12.2
1979,5,12.4
1979,4,12.9
1979,3,12.5
1979,2,13.1
1979,1,12.4
1978,12,12.4
1978,11,12.7
1978,10,11.8
1978,9,11.9
1978,8,12.3
1978,7,13.0
1978,6,12.8
1978,5,13.0
1978,4,12.9
1978,3,13.1
1978,2,13.1
1978,1,13.9
1977,12,13.6
1977,11,14.7
1977,10,14.5
1977,9,14.5
1977,8,15.1
1977,7,13.9
1977,6,13.9
1977,5,13.5
1977,4,12.8
1977,3,13.9
1977,2,14.2
1977,1,13.8
1976,12,14.1
1976,11,14.0
1976,10,13.9
1976,9,13.7
1976,8,14.3
1976,7,13.9
1976,6,14.3
1976,5,13.2
1976,4,13.8
1976,3,13.5
1976,2,14.4
1976,1,14.3
1975,12,14.5
1975,11,14.6
1975,10,14.9
1975,9,15.4
1975,8,15.2
1975,7,14.1
1975,6,15.0
1975,5,15.1
1975,4,15.3
1975,3,15.1
1975,2,14.4
1975,1,14.1
1974,12,13.1
1974,11,12.4
1974,10,11.5
1974,9,10.8
1974,8,9.9
1974,7,10.4
1974,6,10.1
1974,5,9.7
1974,4,9.5
1974,3,9.8
1974,2,9.8
1974,1,9.5
1973,12,9.0
1973,11,9.3
1973,10,8.8
1973,9,9.7
1973,8,9.2
1973,7,9.8
1973,6,9.8
1973,5,9.6
1973,4,9.9
1973,3,9.4
1973,2,9.5
1973,1,9.1
1972,12,9.4
1972,11,10.0
1972,10,10.6
1972,9,10.4
1972,8,10.6
1972,7,10.5
1972,6,10.2
1972,5,10.2
1972,4,9.8
1972,3,10.7
1972,2,11.2
1972,1,11.2
