Years,Months,Unemployment Rate
2019,9,3.9
2019,8,4.2
2019,7,4.5
2019,6,4.3
2019,5,4.2
2019,4,4.2
2019,3,4.7
2019,2,4.3
2019,1,4.9
2018,12,4.4
2018,11,4.5
2018,10,4.4
2018,9,4.5
2018,8,4.7
2018,7,4.5
2018,6,4.6
2018,5,4.9
2018,4,4.8
2018,3,5.1
2018,2,4.9
2018,1,5.0
2017,12,4.9
2017,11,4.8
2017,10,4.9
2017,9,5.1
2017,8,5.1
2017,7,5.2
2017,6,4.9
2017,5,5.1
2017,4,5.1
2017,3,5.0
2017,2,5.5
2017,1,5.8
2016,12,5.9
2016,11,5.7
2016,10,5.7
2016,9,6.4
2016,8,5.6
2016,7,5.5
2016,6,5.9
2016,5,5.6
2016,4,6.1
2016,3,5.5
2016,2,5.4
2016,1,5.8
2015,12,6.2
2015,11,6.4
2015,10,6.3
2015,9,6.2
2015,8,6.6
2015,7,6.9
2015,6,6.8
2015,5,6.8
2015,4,6.8
2015,3,6.8
2015,2,6.8
2015,1,6.7
2014,12,6.4
2014,11,6.6
2014,10,6.8
2014,9,6.8
2014,8,7.4
2014,7,7.7
2014,6,7.8
2014,5,7.7
2014,4,7.2
2014,3,7.9
2014,2,8.2
2014,1,8.3
2013,12,8.3
2013,11,8.7
2013,10,9.1
2013,9,8.8
2013,8,9.2
2013,7,9.4
2013,6,9.1
2013,5,9.0
2013,4,9.0
2013,3,9.3
2013,2,9.7
2013,1,9.7
2012,12,9.6
2012,11,9.9
2012,10,10.0
2012,9,9.7
2012,8,10.1
2012,7,10.2
2012,6,10.9
2012,5,10.9
2012,4,10.3
2012,3,10.6
2012,2,10.9
2012,1,10.7
2011,12,11.1
2011,11,11.2
2011,10,11.3
2011,9,11.2
2011,8,11.2
2011,7,11.2
2011,6,11.5
2011,5,11.6
2011,4,11.9
2011,3,11.6
2011,2,11.8
2011,1,12.3
2010,12,12.9
2010,11,12.9
2010,10,12.3
2010,9,12.3
2010,8,12.0
2010,7,12.2
2010,6,12.3
2010,5,12.0
2010,4,12.5
2010,3,12.9
2010,2,12.7
2010,1,12.9
2009,12,12.8
2009,11,12.4
2009,10,12.8
2009,9,12.6
2009,8,13.0
2009,7,12.5
2009,6,12.1
2009,5,12.3
2009,4,11.4
2009,3,11.7
2009,2,11.3
2009,1,10.1
2008,12,9.4
2008,11,8.7
2008,10,8.8
2008,9,8.0
2008,8,8.0
