Years,Months,Unemployment Rate
2019,9,3.2
2019,8,3.4
2019,7,3.3
2019,6,3.3
2019,5,3.3
2019,4,3.1
2019,3,3.4
2019,2,3.3
2019,1,3.5
2018,12,3.4
2018,11,3.4
2018,10,3.3
2018,9,3.3
2018,8,3.4
2018,7,3.3
2018,6,3.5
2018,5,3.5
2018,4,3.5
2018,3,3.6
2018,2,3.7
2018,1,3.5
2017,12,3.7
2017,11,3.7
2017,10,3.5
2017,9,3.7
2017,8,3.8
2017,7,3.7
2017,6,3.8
2017,5,3.8
2017,4,3.8
2017,3,3.9
2017,2,4.0
2017,1,4.3
2016,12,4.2
2016,11,4.2
2016,10,4.4
2016,9,4.4
2016,8,4.4
2016,7,4.2
2016,6,4.3
2016,5,4.2
2016,4,4.4
2016,3,4.3
2016,2,4.2
2016,1,4.3
2015,12,4.4
2015,11,4.4
2015,10,4.4
2015,9,4.4
2015,8,4.4
2015,7,4.5
2015,6,4.6
2015,5,4.8
2015,4,4.7
2015,3,4.8
2015,2,4.7
2015,1,4.9
2014,12,4.7
2014,11,5.0
2014,10,4.9
2014,9,5.1
2014,8,5.3
2014,7,5.3
2014,6,5.3
2014,5,5.4
2014,4,5.3
2014,3,5.8
2014,2,5.8
2014,1,5.7
2013,12,5.9
2013,11,6.1
2013,10,6.3
2013,9,6.3
2013,8,6.4
2013,7,6.5
2013,6,6.6
2013,5,6.7
2013,4,6.7
2013,3,6.7
2013,2,6.8
2013,1,7.1
2012,12,6.9
2012,11,6.8
2012,10,6.9
2012,9,7.0
2012,8,7.2
2012,7,7.3
2012,6,7.3
2012,5,7.4
2012,4,7.4
2012,3,7.3
2012,2,7.4
2012,1,7.4
2011,12,7.5
2011,11,7.7
2011,10,7.9
2011,9,7.9
2011,8,7.9
2011,7,8.0
2011,6,8.1
2011,5,7.9
2011,4,8.1
2011,3,8.0
2011,2,8.1
2011,1,8.1
2010,12,8.5
2010,11,8.9
2010,10,8.6
2010,9,8.6
2010,8,8.6
2010,7,8.5
2010,6,8.6
2010,5,8.7
2010,4,9.0
2010,3,8.9
2010,2,8.9
2010,1,8.8
2009,12,9.0
